id_transacao,data,hora,tipo_sorvete,sabor,quantidade,valor_total,cidade,estado,canal_venda,promocao,id_cliente,data_venda,hora_parse,hora_venda,flag_sabor_nao_informado,flag_cidade_nao_informada,flag_data_invalida,flag_hora_invalida,flag_quantidade_invalida,flag_valor_total_nulo,flag_valor_total_invalido,flag_id_transacao_duplicado,flag_linha_duplicada,flag_tipo_sorvete_invalido,flag_sabor_invalido,flag_canal_venda_invalido,flag_estado_invalido,motivo_exclusao,registro_valido_powerbi,flag_outlier_valor_total,ano,mes,nome_mes,ano_mes,trimestre,dia_semana,dia_mes,faixa_horario,ticket_transacao,ticket_medio,valor_unitario_estimado,promocao_label,cliente_recorrente,qtd_transacoes_cliente
304,2025-03-07,22,Milkshake,Chocolate,-1,-8.17,Nogueira De Minas,AM,Parceiro,False,CLI7558,2025-03-07,1900-01-01 22:00:00,22:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Sexta,7,Noite,-8.17,8.17,8.17,Sem Promocao,True,3
355,2025-05-18,13,Milkshake,Baunilha,-3,-44.01,Campinas,BA,App,False,CLI6680,2025-05-18,1900-01-01 13:30:00,13:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,5,Maio,2025-05,T2,Domingo,18,Tarde,-44.01,14.67,14.67,Sem Promocao,True,5
363,2025-05-16,14,Pote,Chocolate,-2,-21.66,Martins Das Flores,RR,Parceiro,False,CLI7091,2025-05-16,1900-01-01 14:00:00,14:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Sexta,16,Tarde,-21.66,10.83,10.83,Sem Promocao,True,7
368,2025-02-23,19,Casquinha,Chocolate,0,0.0,Gonçalves De Goiás,SE,App,True,CLI5596,2025-02-23,1900-01-01 19:30:00,19:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,2,Fevereiro,2025-02,T1,Domingo,23,Noite,0.0,,,Com Promocao,True,6
434,2025-07-26,17,Sundae,Cookies,-2,-14.08,Cassiano Das Flores,RS,App,True,CLI7013,2025-07-26,1900-01-01 17:45:00,17:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,7,Julho,2025-07,T3,Sabado,26,Tarde,-14.08,7.04,7.04,Com Promocao,True,7
462,2025-04-19,15,Milkshake,Cookies,-6,-40.34,Campinas,SE,Loja Física,True,CLI8624,2025-04-19,1900-01-01 15:30:00,15:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,4,Abril,2025-04,T2,Sabado,19,Tarde,-40.34,6.72,6.72,Com Promocao,True,10
488,2025-03-24,11,Picolé,Morango,0,0.0,Castro,PE,Parceiro,False,CLI7162,2025-03-24,1900-01-01 11:15:00,11:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Segunda,24,Manha,0.0,,,Sem Promocao,True,10
570,2025-06-22,17,Picolé,Limão,-1,-8.14,Aragão Paulista,ES,Loja Física,True,CLI7522,2025-06-22,1900-01-01 17:00:00,17:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Domingo,22,Tarde,-8.14,8.14,8.14,Com Promocao,True,3
592,2025-03-30,14,Picolé,Morango,0,0.0,Pinto,RS,Parceiro,False,CLI1605,2025-03-30,1900-01-01 14:15:00,14:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Domingo,30,Tarde,0.0,,,Sem Promocao,True,8
602,2025-03-27,12,Casquinha,Nao Informado,3,,Nao Informado,TO,App,True,CLI4239,2025-03-27,1900-01-01 12:00:00,12:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,3,Marco,2025-03,T1,Quinta,27,Tarde,,,,Com Promocao,True,7
673,2025-04-30,16,Milkshake,Baunilha,-5,-34.15,Pimenta Da Mata,RJ,Parceiro,False,CLI1287,2025-04-30,1900-01-01 16:30:00,16:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,4,Abril,2025-04,T2,Quarta,30,Tarde,-34.15,6.83,6.83,Sem Promocao,True,3
708,2025-07-24,22,Casquinha,Nao Informado,1,,Nao Informado,PB,Parceiro,False,CLI8579,2025-07-24,1900-01-01 22:15:00,22:15,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,7,Julho,2025-07,T3,Quinta,24,Noite,,,,Sem Promocao,True,4
755,2025-06-15,12,Casquinha,Baunilha,-5,-32.33,Brito Da Praia,SE,App,True,CLI8248,2025-06-15,1900-01-01 12:00:00,12:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,6,Junho,2025-06,T2,Domingo,15,Tarde,-32.33,6.47,6.47,Com Promocao,True,4
780,2025-08-01,19,Milkshake,Nao Informado,4,,Nao Informado,AM,Loja Física,True,CLI2929,2025-08-01,1900-01-01 19:15:00,19:15,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,8,Agosto,2025-08,T3,Sexta,1,Noite,,,,Com Promocao,True,7
814,2025-06-29,18,Casquinha,Menta,-3,-36.9,Borges,RN,App,False,CLI4176,2025-06-29,1900-01-01 18:45:00,18:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,6,Junho,2025-06,T2,Domingo,29,Noite,-36.9,12.3,12.3,Sem Promocao,True,6
818,2025-02-20,12,Picolé,Nao Informado,4,,Nao Informado,SE,Loja Física,False,CLI2870,2025-02-20,1900-01-01 12:45:00,12:45,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,2,Fevereiro,2025-02,T1,Quinta,20,Tarde,,,,Sem Promocao,True,9
876,2025-06-27,15,Pote,Nao Informado,4,,Nao Informado,SC,App,True,CLI5315,2025-06-27,1900-01-01 15:45:00,15:45,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,6,Junho,2025-06,T2,Sexta,27,Tarde,,,,Com Promocao,True,4
923,2025-06-06,21,Picolé,Limão,-1,-6.8,Cunha Do Oeste,PE,Parceiro,False,CLI3613,2025-06-06,1900-01-01 21:00:00,21:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Sexta,6,Noite,-6.8,6.8,6.8,Sem Promocao,True,7
950,2025-05-04,15,Casquinha,Cookies,0,0.0,Andrade,SC,Parceiro,False,CLI5616,2025-05-04,1900-01-01 15:30:00,15:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Domingo,4,Tarde,0.0,,,Sem Promocao,True,12
998,2025-07-08,10,Pote,Nao Informado,1,,Nao Informado,MS,App,True,CLI3555,2025-07-08,1900-01-01 10:00:00,10:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,7,Julho,2025-07,T3,Terca,8,Manha,,,,Com Promocao,True,12
1042,2025-07-13,8,Picolé,Caramelo,-1,-8.91,Costela,RN,App,False,CLI9293,2025-07-13,1900-01-01 08:30:00,08:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,7,Julho,2025-07,T3,Domingo,13,Manha,-8.91,8.91,8.91,Sem Promocao,True,4
1119,2025-05-19,11,Picolé,Limão,-1,-3.76,Nascimento Da Serra,AL,Parceiro,True,CLI4239,2025-05-19,1900-01-01 11:30:00,11:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Segunda,19,Manha,-3.76,3.76,3.76,Com Promocao,True,7
1132,2025-06-25,8,Picolé,Nao Informado,4,,Nao Informado,RN,Parceiro,False,CLI7238,2025-06-25,1900-01-01 08:00:00,08:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,6,Junho,2025-06,T2,Quarta,25,Manha,,,,Sem Promocao,True,6
1161,2025-03-07,19,Casquinha,Açaí,-5,-54.9,Barros Paulista,AL,App,False,CLI4500,2025-03-07,1900-01-01 19:30:00,19:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,3,Marco,2025-03,T1,Sexta,7,Noite,-54.9,10.98,10.98,Sem Promocao,True,5
1193,2025-07-16,19,Milkshake,Nao Informado,6,,Nao Informado,RS,Loja Física,True,CLI3034,2025-07-16,1900-01-01 19:30:00,19:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,7,Julho,2025-07,T3,Quarta,16,Noite,,,,Com Promocao,True,10
1237,2025-06-09,22,Casquinha,Baunilha,-5,-40.65,Azevedo Do Norte,PE,Parceiro,False,CLI3155,2025-06-09,1900-01-01 22:15:00,22:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,6,Junho,2025-06,T2,Segunda,9,Noite,-40.65,8.13,8.13,Sem Promocao,True,5
1249,2025-07-03,11,Picolé,Baunilha,-4,-45.52,Sales,PE,Loja Física,False,CLI3546,2025-07-03,1900-01-01 11:00:00,11:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,7,Julho,2025-07,T3,Quinta,3,Manha,-45.52,11.38,11.38,Sem Promocao,True,5
1270,2025-05-17,15,Pote,Limão,-1,-5.33,Caldeira,SP,Parceiro,False,CLI6451,2025-05-17,1900-01-01 15:45:00,15:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Sabado,17,Tarde,-5.33,5.33,5.33,Sem Promocao,True,4
1277,2025-06-02,15,Sundae,Chocolate,-2,-11.89,Moraes Da Serra,AM,Parceiro,True,CLI6604,2025-06-02,1900-01-01 15:00:00,15:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Segunda,2,Tarde,-11.89,5.94,5.94,Com Promocao,True,8
1297,2025-08-02,15,Milkshake,Cookies,-1,-10.13,Farias Grande,RN,App,True,CLI6156,2025-08-02,1900-01-01 15:30:00,15:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,8,Agosto,2025-08,T3,Sabado,2,Tarde,-10.13,10.13,10.13,Com Promocao,True,6
1343,2025-05-03,11,Sundae,Limão,-2,-19.36,Ramos Grande,PR,Loja Física,False,CLI8088,2025-05-03,1900-01-01 11:15:00,11:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Sabado,3,Manha,-19.36,9.68,9.68,Sem Promocao,True,3
1362,2025-05-02,9,Pote,Nao Informado,3,,Nao Informado,PE,App,True,CLI1778,2025-05-02,1900-01-01 09:30:00,09:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,5,Maio,2025-05,T2,Sexta,2,Manha,,,,Com Promocao,True,5
1436,2025-05-15,18,Picolé,Nao Informado,4,,Nao Informado,SC,App,True,CLI8744,2025-05-15,1900-01-01 18:00:00,18:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,5,Maio,2025-05,T2,Quinta,15,Noite,,,,Com Promocao,True,13
1518,2025-03-31,9,Milkshake,Açaí,-1,-8.39,Araújo Do Galho,PI,Loja Física,True,CLI4491,2025-03-31,1900-01-01 09:00:00,09:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Segunda,31,Manha,-8.39,8.39,8.39,Com Promocao,True,6
1538,2025-08-10,18,Milkshake,Nao Informado,3,,Nao Informado,BA,App,False,CLI4677,2025-08-10,1900-01-01 18:45:00,18:45,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,8,Agosto,2025-08,T3,Domingo,10,Noite,,,,Sem Promocao,True,9
1540,2025-03-04,10,Casquinha,Nao Informado,1,,Nao Informado,MG,Loja Física,False,CLI7686,2025-03-04,1900-01-01 10:45:00,10:45,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,3,Marco,2025-03,T1,Terca,4,Manha,,,,Sem Promocao,True,10
1561,2025-05-29,11,Milkshake,Nao Informado,3,,Nao Informado,RN,Loja Física,True,CLI5342,2025-05-29,1900-01-01 11:00:00,11:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,5,Maio,2025-05,T2,Quinta,29,Manha,,,,Com Promocao,True,5
1628,2025-03-21,22,Pote,Açaí,0,0.0,Barbosa,AC,Parceiro,True,CLI1101,2025-03-21,1900-01-01 22:15:00,22:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Sexta,21,Noite,0.0,,,Com Promocao,True,9
1648,2025-04-09,10,Pote,Nao Informado,2,,Nao Informado,RS,Loja Física,False,CLI8467,2025-04-09,1900-01-01 10:30:00,10:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,4,Abril,2025-04,T2,Quarta,9,Manha,,,,Sem Promocao,True,7
1699,2025-06-13,10,Sundae,Morango,-1,-7.06,Jesus,AL,App,False,CLI6787,2025-06-13,1900-01-01 10:15:00,10:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Sexta,13,Manha,-7.06,7.06,7.06,Sem Promocao,True,9
1718,2025-03-06,22,Pote,Limão,-1,-8.47,Das Neves,BA,Loja Física,False,CLI4373,2025-03-06,1900-01-01 22:15:00,22:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Quinta,6,Noite,-8.47,8.47,8.47,Sem Promocao,True,6
1771,2025-03-08,8,Picolé,Baunilha,-5,-29.1,Ribeiro De Vargas,DF,App,False,CLI6702,2025-03-08,1900-01-01 08:15:00,08:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,3,Marco,2025-03,T1,Sabado,8,Manha,-29.1,5.82,5.82,Sem Promocao,True,11
1777,2025-07-24,15,Milkshake,Nao Informado,4,,Nao Informado,PE,Loja Física,True,CLI3769,2025-07-24,1900-01-01 15:30:00,15:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,7,Julho,2025-07,T3,Quinta,24,Tarde,,,,Com Promocao,True,10
1818,2025-04-02,17,Casquinha,Cookies,0,0.0,Mendes,RO,Parceiro,True,CLI9573,2025-04-02,1900-01-01 17:30:00,17:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,4,Abril,2025-04,T2,Quarta,2,Tarde,0.0,,,Com Promocao,True,5
1850,2025-06-26,10,Milkshake,Nao Informado,4,,Nao Informado,PE,Loja Física,False,CLI1700,2025-06-26,1900-01-01 10:00:00,10:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,6,Junho,2025-06,T2,Quinta,26,Manha,,,,Sem Promocao,True,5
1857,2025-04-26,9,Sundae,Chocolate,0,0.0,Cirino,AC,Parceiro,False,CLI2330,2025-04-26,1900-01-01 09:45:00,09:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,4,Abril,2025-04,T2,Sabado,26,Manha,0.0,,,Sem Promocao,True,5
1899,2025-05-09,10,Pote,Nao Informado,1,,Nao Informado,SP,Loja Física,False,CLI1428,2025-05-09,1900-01-01 10:00:00,10:00,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,5,Maio,2025-05,T2,Sexta,9,Manha,,,,Sem Promocao,True,7
1969,2025-04-21,16,Milkshake,Chocolate,0,0.0,Cirino,PI,Loja Física,True,CLI9817,2025-04-21,1900-01-01 16:45:00,16:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,4,Abril,2025-04,T2,Segunda,21,Tarde,0.0,,,Com Promocao,True,6
2046,2025-06-20,19,Milkshake,Baunilha,-3,-27.16,Moura Do Norte,AP,Loja Física,True,CLI8244,2025-06-20,1900-01-01 19:00:00,19:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,6,Junho,2025-06,T2,Sexta,20,Noite,-27.16,9.05,9.05,Com Promocao,True,7
2078,2025-08-06,12,Milkshake,Morango,-3,-24.03,Andrade,AC,Loja Física,False,CLI7020,2025-08-06,1900-01-01 12:15:00,12:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,8,Agosto,2025-08,T3,Quarta,6,Tarde,-24.03,8.01,8.01,Sem Promocao,True,5
2081,2025-05-02,12,Milkshake,Açaí,-1,-12.4,Melo,MS,App,True,CLI4140,2025-05-02,1900-01-01 12:30:00,12:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Sexta,2,Tarde,-12.4,12.4,12.4,Com Promocao,True,10
2089,2025-05-18,19,Casquinha,Nao Informado,3,,Nao Informado,PI,Loja Física,True,CLI1301,2025-05-18,1900-01-01 19:15:00,19:15,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,5,Maio,2025-05,T2,Domingo,18,Noite,,,,Com Promocao,True,2
2093,2025-05-20,20,Casquinha,Chocolate,-1,-8.22,Mendonça,PI,Loja Física,False,CLI7337,2025-05-20,1900-01-01 20:30:00,20:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Terca,20,Noite,-8.22,8.22,8.22,Sem Promocao,True,5
2142,2025-04-14,9,Picolé,Limão,-5,-57.41,Da Cruz,AM,Parceiro,True,CLI9289,2025-04-14,1900-01-01 09:30:00,09:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,4,Abril,2025-04,T2,Segunda,14,Manha,-57.41,11.48,11.48,Com Promocao,True,6
2153,2025-07-21,18,Casquinha,Limão,-1,-4.17,Das Neves De Silva,PR,Parceiro,True,CLI8996,2025-07-21,1900-01-01 18:45:00,18:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,7,Julho,2025-07,T3,Segunda,21,Noite,-4.17,4.17,4.17,Com Promocao,True,4
2223,2025-05-19,21,Casquinha,Nao Informado,3,,Nao Informado,PI,Parceiro,True,CLI8431,2025-05-19,1900-01-01 21:15:00,21:15,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,5,Maio,2025-05,T2,Segunda,19,Noite,,,,Com Promocao,True,4
2226,2025-06-27,20,Picolé,Chocolate,-1,-10.88,Câmara Do Galho,BA,App,True,CLI6325,2025-06-27,1900-01-01 20:15:00,20:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Sexta,27,Noite,-10.88,10.88,10.88,Com Promocao,True,9
2257,2025-03-01,16,Pote,Nao Informado,3,,Nao Informado,BA,App,False,CLI2337,2025-03-01,1900-01-01 16:15:00,16:15,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,3,Marco,2025-03,T1,Sabado,1,Tarde,,,,Sem Promocao,True,7
2301,2025-03-06,20,Sundae,Açaí,-4,-46.44,Pinto Do Galho,DF,Loja Física,False,CLI7022,2025-03-06,1900-01-01 20:00:00,20:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,True,2025,3,Marco,2025-03,T1,Quinta,6,Noite,-46.44,11.61,11.61,Sem Promocao,True,8
2310,2025-06-09,12,Picolé,Limão,-1,-4.49,Dias De Goiás,BA,Parceiro,True,CLI7871,2025-06-09,1900-01-01 12:45:00,12:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Segunda,9,Tarde,-4.49,4.49,4.49,Com Promocao,True,8
2367,2025-05-28,8,Sundae,Limão,0,0.0,Alves,AL,Loja Física,True,CLI5351,2025-05-28,1900-01-01 08:45:00,08:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Quarta,28,Manha,0.0,,,Com Promocao,True,6
2398,2025-03-10,19,Picolé,Caramelo,-1,-10.75,Cavalcante De Teixeira,RO,Loja Física,False,CLI9430,2025-03-10,1900-01-01 19:30:00,19:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Segunda,10,Noite,-10.75,10.75,10.75,Sem Promocao,True,4
2434,2025-03-18,8,Sundae,Nao Informado,1,,Nao Informado,AL,Parceiro,False,CLI3305,2025-03-18,1900-01-01 08:30:00,08:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,3,Marco,2025-03,T1,Terca,18,Manha,,,,Sem Promocao,True,6
2488,2025-05-04,12,Pote,Caramelo,0,0.0,Vasconcelos,RS,App,False,CLI3545,2025-05-04,1900-01-01 12:15:00,12:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Domingo,4,Tarde,0.0,,,Sem Promocao,True,6
2497,2025-06-17,13,Casquinha,Nao Informado,3,,Nao Informado,DF,Parceiro,True,CLI9701,2025-06-17,1900-01-01 13:45:00,13:45,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,6,Junho,2025-06,T2,Terca,17,Tarde,,,,Com Promocao,True,6
