id_transacao,data_venda,ano,mes,nome_mes,ano_mes,trimestre,dia_semana,dia_mes,hora_venda,hora,faixa_horario,tipo_sorvete,sabor,quantidade,valor_total,ticket_transacao,ticket_medio,valor_unitario_estimado,cidade,estado,canal_venda,promocao,promocao_label,id_cliente,cliente_recorrente,qtd_transacoes_cliente,flag_sabor_nao_informado,flag_cidade_nao_informada,flag_outlier_valor_total,registro_valido_powerbi
29,2025-03-13,2025,3,Marco,2025-03,T1,Quinta,13,17:45,17,Tarde,Picolé,Açaí,3,30.78,30.78,10.26,10.26,Nogueira,RR,Parceiro,False,Sem Promocao,CLI2348,True,6,False,False,False,True
30,2025-06-13,2025,6,Junho,2025-06,T2,Sexta,13,09:15,9,Manha,Pote,Morango,4,23.68,23.68,5.92,5.92,Sousa,CE,App,False,Sem Promocao,CLI6340,True,7,False,False,False,True
31,2025-02-22,2025,2,Fevereiro,2025-02,T1,Sabado,22,08:45,8,Manha,Milkshake,Cookies,5,40.75,40.75,8.15,8.15,Campinas,RO,App,False,Sem Promocao,CLI6309,True,5,False,False,False,True
32,2025-07-11,2025,7,Julho,2025-07,T3,Sexta,11,21:15,21,Noite,Picolé,Baunilha,1,6.37,6.37,6.37,6.37,Cardoso De Moreira,MS,Loja Física,True,Com Promocao,CLI5857,True,4,False,False,False,True
33,2025-08-31,2025,8,Agosto,2025-08,T3,Domingo,31,22:15,22,Noite,Picolé,Baunilha,2,20.34,20.34,10.17,10.17,Pires Do Campo,AL,Loja Física,False,Sem Promocao,CLI4913,True,4,False,False,False,True
34,2025-03-02,2025,3,Marco,2025-03,T1,Domingo,2,12:30,12,Tarde,Picolé,Cookies,1,8.01,8.01,8.01,8.01,Monteiro De Goiás,MT,Loja Física,True,Com Promocao,CLI5267,True,6,False,False,False,True
35,2025-06-20,2025,6,Junho,2025-06,T2,Sexta,20,13:30,13,Tarde,Sundae,Limão,4,34.2,34.2,8.55,8.55,Da Rocha De Campos,AC,Loja Física,False,Sem Promocao,CLI9825,True,3,False,False,False,True
36,2025-03-04,2025,3,Marco,2025-03,T1,Terca,4,11:30,11,Manha,Sundae,Menta,2,15.9,15.9,7.95,7.95,Teixeira,MT,Loja Física,True,Com Promocao,CLI5262,True,3,False,False,False,True
37,2025-08-15,2025,8,Agosto,2025-08,T3,Sexta,15,09:30,9,Manha,Milkshake,Cookies,3,39.08,39.08,13.03,13.03,Sampaio De Santos,MT,App,True,Com Promocao,CLI6293,True,4,False,False,False,True
38,2025-04-08,2025,4,Abril,2025-04,T2,Terca,8,15:45,15,Tarde,Pote,Limão,3,26.43,26.43,8.81,8.81,Rezende,RO,Parceiro,False,Sem Promocao,CLI7520,True,6,False,False,False,True
39,2025-06-01,2025,6,Junho,2025-06,T2,Domingo,1,14:45,14,Tarde,Milkshake,Morango,2,12.02,12.02,6.01,6.01,Gomes De Cavalcanti,PE,App,False,Sem Promocao,CLI3479,True,5,False,False,False,True
40,2025-03-13,2025,3,Marco,2025-03,T1,Quinta,13,11:30,11,Manha,Milkshake,Menta,6,37.17,37.17,6.2,6.2,Campinas,MT,Parceiro,True,Com Promocao,CLI4475,True,3,False,False,False,True
42,2025-08-06,2025,8,Agosto,2025-08,T3,Quarta,6,20:00,20,Noite,Milkshake,Baunilha,2,8.51,8.51,4.26,4.26,Carvalho,PA,App,True,Com Promocao,CLI1960,True,6,False,False,False,True
43,2025-05-11,2025,5,Maio,2025-05,T2,Domingo,11,18:45,18,Noite,Milkshake,Caramelo,5,30.3,30.3,6.06,6.06,Teixeira,MA,Loja Física,False,Sem Promocao,CLI4258,True,9,False,False,False,True
44,2025-05-31,2025,5,Maio,2025-05,T2,Sabado,31,14:15,14,Tarde,Picolé,Limão,3,22.17,22.17,7.39,7.39,Da Rosa,RN,Parceiro,False,Sem Promocao,CLI9596,True,11,False,False,False,True
45,2025-02-21,2025,2,Fevereiro,2025-02,T1,Sexta,21,14:15,14,Tarde,Picolé,Limão,2,19.76,19.76,9.88,9.88,Casa Grande,GO,Parceiro,True,Com Promocao,CLI6998,True,7,False,False,False,True
46,2025-08-19,2025,8,Agosto,2025-08,T3,Terca,19,14:15,14,Tarde,Sundae,Morango,5,39.14,39.14,7.83,7.83,Costa Do Norte,SP,App,True,Com Promocao,CLI7370,True,8,False,False,False,True
47,2025-07-11,2025,7,Julho,2025-07,T3,Sexta,11,09:15,9,Manha,Pote,Chocolate,5,52.7,52.7,10.54,10.54,Rocha De Silva,MA,Parceiro,True,Com Promocao,CLI6707,True,7,False,False,False,True
48,2025-07-26,2025,7,Julho,2025-07,T3,Sabado,26,16:45,16,Tarde,Picolé,Cookies,4,32.74,32.74,8.18,8.18,Guerra,ES,Parceiro,True,Com Promocao,CLI3398,True,4,False,False,False,True
49,2025-04-21,2025,4,Abril,2025-04,T2,Segunda,21,08:30,8,Manha,Milkshake,Baunilha,5,40.38,40.38,8.08,8.08,Campinas,AP,Loja Física,True,Com Promocao,CLI9491,True,7,False,False,False,True
50,2025-04-12,2025,4,Abril,2025-04,T2,Sabado,12,14:15,14,Tarde,Milkshake,Limão,1,7.5,7.5,7.5,7.5,Jesus De Minas,MT,Loja Física,False,Sem Promocao,CLI3644,True,10,False,False,False,True
51,2025-08-12,2025,8,Agosto,2025-08,T3,Terca,12,20:00,20,Noite,Picolé,Baunilha,3,25.38,25.38,8.46,8.46,Vargas,BA,App,False,Sem Promocao,CLI9456,True,3,False,False,False,True
52,2025-07-05,2025,7,Julho,2025-07,T3,Sabado,5,14:30,14,Tarde,Milkshake,Menta,6,37.86,37.86,6.31,6.31,Campinas,SE,Parceiro,False,Sem Promocao,CLI8317,True,5,False,False,False,True
53,2025-05-20,2025,5,Maio,2025-05,T2,Terca,20,20:45,20,Noite,Pote,Morango,2,13.64,13.64,6.82,6.82,Cassiano,PR,Parceiro,True,Com Promocao,CLI7133,True,9,False,False,False,True
54,2025-03-19,2025,3,Marco,2025-03,T1,Quarta,19,18:30,18,Noite,Picolé,Chocolate,5,46.0,46.0,9.2,9.2,Sá Da Praia,AL,App,False,Sem Promocao,CLI4042,True,8,False,False,False,True
55,2025-08-24,2025,8,Agosto,2025-08,T3,Domingo,24,19:45,19,Noite,Milkshake,Chocolate,5,71.1,71.1,14.22,14.22,Da Mata Da Praia,PR,Loja Física,False,Sem Promocao,CLI3695,True,6,False,False,False,True
56,2025-07-24,2025,7,Julho,2025-07,T3,Quinta,24,12:15,12,Tarde,Milkshake,Baunilha,5,60.34,60.34,12.07,12.07,Lopes,PA,Loja Física,True,Com Promocao,CLI4777,True,11,False,False,False,True
57,2025-06-26,2025,6,Junho,2025-06,T2,Quinta,26,21:15,21,Noite,Sundae,Açaí,5,36.3,36.3,7.26,7.26,Aparecida,SC,Loja Física,False,Sem Promocao,CLI9099,True,9,False,False,False,True
58,2025-07-11,2025,7,Julho,2025-07,T3,Sexta,11,12:15,12,Tarde,Casquinha,Morango,2,11.53,11.53,5.76,5.76,Andrade Do Norte,MS,Parceiro,True,Com Promocao,CLI2793,True,5,False,False,False,True
59,2025-04-07,2025,4,Abril,2025-04,T2,Segunda,7,20:00,20,Noite,Picolé,Limão,3,20.22,20.22,6.74,6.74,Da Costa Da Prata,ES,Loja Física,False,Sem Promocao,CLI8959,True,5,False,False,False,True
60,2025-04-06,2025,4,Abril,2025-04,T2,Domingo,6,22:15,22,Noite,Sundae,Açaí,3,38.79,38.79,12.93,12.93,Silveira De Camargo,MT,Loja Física,True,Com Promocao,CLI1435,True,6,False,False,False,True
61,2025-03-17,2025,3,Marco,2025-03,T1,Segunda,17,10:00,10,Manha,Pote,Limão,4,33.84,33.84,8.46,8.46,Cavalcanti De Porto,AC,Parceiro,False,Sem Promocao,CLI2764,True,4,False,False,False,True
62,2025-04-30,2025,4,Abril,2025-04,T2,Quarta,30,13:30,13,Tarde,Casquinha,Açaí,1,10.22,10.22,10.22,10.22,Sales,AM,Loja Física,True,Com Promocao,CLI7187,True,4,False,False,False,True
63,2025-03-19,2025,3,Marco,2025-03,T1,Quarta,19,18:30,18,Noite,Pote,Caramelo,5,42.79,42.79,8.56,8.56,Peixoto,AM,App,True,Com Promocao,CLI9347,True,3,False,False,False,True
64,2025-06-09,2025,6,Junho,2025-06,T2,Segunda,9,16:15,16,Tarde,Pote,Menta,5,57.9,57.9,11.58,11.58,Da Rocha Paulista,RR,Parceiro,False,Sem Promocao,CLI7760,True,7,False,False,False,True
65,2025-06-05,2025,6,Junho,2025-06,T2,Quinta,5,09:15,9,Manha,Pote,Menta,1,6.44,6.44,6.44,6.44,Cunha,AM,App,True,Com Promocao,CLI7383,True,3,False,False,False,True
66,2025-05-22,2025,5,Maio,2025-05,T2,Quinta,22,16:00,16,Tarde,Casquinha,Baunilha,5,54.4,54.4,10.88,10.88,Mendonça Grande,PI,Parceiro,False,Sem Promocao,CLI1027,True,11,False,False,False,True
67,2025-05-27,2025,5,Maio,2025-05,T2,Terca,27,12:00,12,Tarde,Pote,Baunilha,2,18.66,18.66,9.33,9.33,Montenegro,PR,App,False,Sem Promocao,CLI3695,True,6,False,False,False,True
68,2025-03-17,2025,3,Marco,2025-03,T1,Segunda,17,10:30,10,Manha,Milkshake,Açaí,2,19.74,19.74,9.87,9.87,Andrade,MA,Parceiro,False,Sem Promocao,CLI8182,True,2,False,False,False,True
69,2025-08-12,2025,8,Agosto,2025-08,T3,Terca,12,22:15,22,Noite,Picolé,Menta,3,22.56,22.56,7.52,7.52,Cirino Verde,PE,Loja Física,False,Sem Promocao,CLI8420,True,6,False,False,False,True
70,2025-05-05,2025,5,Maio,2025-05,T2,Segunda,5,17:30,17,Tarde,Picolé,Chocolate,5,34.0,34.0,6.8,6.8,Oliveira Grande,GO,Loja Física,False,Sem Promocao,CLI1619,True,7,False,False,False,True
71,2025-05-06,2025,5,Maio,2025-05,T2,Terca,6,17:45,17,Tarde,Casquinha,Menta,1,8.22,8.22,8.22,8.22,Sousa Do Campo,AP,Loja Física,False,Sem Promocao,CLI4873,True,7,False,False,False,True
72,2025-05-26,2025,5,Maio,2025-05,T2,Segunda,26,08:15,8,Manha,Milkshake,Açaí,4,16.64,16.64,4.16,4.16,Marques,RN,App,True,Com Promocao,CLI8639,True,10,False,False,False,True
73,2025-08-11,2025,8,Agosto,2025-08,T3,Segunda,11,13:00,13,Tarde,Pote,Açaí,1,8.08,8.08,8.08,8.08,Rios Do Norte,TO,App,False,Sem Promocao,CLI5046,True,8,False,False,False,True
74,2025-08-18,2025,8,Agosto,2025-08,T3,Segunda,18,18:00,18,Noite,Pote,Chocolate,3,29.55,29.55,9.85,9.85,Pacheco,GO,Loja Física,True,Com Promocao,CLI8186,True,5,False,False,False,True
75,2025-03-06,2025,3,Marco,2025-03,T1,Quinta,6,10:15,10,Manha,Sundae,Caramelo,5,39.27,39.27,7.85,7.85,Da Conceição,GO,App,True,Com Promocao,CLI8287,True,7,False,False,False,True
76,2025-05-16,2025,5,Maio,2025-05,T2,Sexta,16,13:00,13,Tarde,Milkshake,Limão,3,13.96,13.96,4.65,4.65,Cavalcante Da Prata,MG,App,True,Com Promocao,CLI3404,True,7,False,False,False,True
77,2025-07-24,2025,7,Julho,2025-07,T3,Quinta,24,17:15,17,Tarde,Casquinha,Cookies,5,64.25,64.25,12.85,12.85,Silva Grande,DF,Loja Física,True,Com Promocao,CLI4628,True,6,False,False,False,True
78,2025-03-05,2025,3,Marco,2025-03,T1,Quarta,5,13:15,13,Tarde,Milkshake,Baunilha,3,30.54,30.54,10.18,10.18,Alves,SC,Parceiro,False,Sem Promocao,CLI9526,True,4,False,False,False,True
79,2025-04-17,2025,4,Abril,2025-04,T2,Quinta,17,11:30,11,Manha,Sundae,Limão,1,7.35,7.35,7.35,7.35,Jesus,AL,App,False,Sem Promocao,CLI4571,True,10,False,False,False,True
80,2025-03-19,2025,3,Marco,2025-03,T1,Quarta,19,11:15,11,Manha,Milkshake,Açaí,5,55.3,55.3,11.06,11.06,Teixeira De Nascimento,PR,Parceiro,False,Sem Promocao,CLI1814,True,5,False,False,False,True
81,2025-07-14,2025,7,Julho,2025-07,T3,Segunda,14,11:00,11,Manha,Milkshake,Caramelo,3,37.47,37.47,12.49,12.49,Campinas,MA,Parceiro,False,Sem Promocao,CLI9559,True,5,False,False,False,True
82,2025-03-21,2025,3,Marco,2025-03,T1,Sexta,21,16:45,16,Tarde,Pote,Limão,3,29.07,29.07,9.69,9.69,Azevedo De Gonçalves,SP,Parceiro,True,Com Promocao,CLI7648,True,4,False,False,False,True
83,2025-02-28,2025,2,Fevereiro,2025-02,T1,Sexta,28,15:30,15,Tarde,Sundae,Caramelo,2,23.98,23.98,11.99,11.99,Abreu Grande,SE,Parceiro,False,Sem Promocao,CLI4232,True,11,False,False,False,True
84,2025-07-04,2025,7,Julho,2025-07,T3,Sexta,4,10:45,10,Manha,Casquinha,Menta,4,29.79,29.79,7.45,7.45,Cavalcanti,AC,App,True,Com Promocao,CLI7608,True,6,False,False,False,True
85,2025-07-01,2025,7,Julho,2025-07,T3,Terca,1,15:45,15,Tarde,Pote,Limão,1,8.92,8.92,8.92,8.92,Câmara,TO,Parceiro,True,Com Promocao,CLI8733,True,5,False,False,False,True
86,2025-05-08,2025,5,Maio,2025-05,T2,Quinta,8,10:30,10,Manha,Picolé,Baunilha,2,29.0,29.0,14.5,14.5,Moreira,TO,Parceiro,False,Sem Promocao,CLI8023,True,9,False,False,False,True
87,2025-02-23,2025,2,Fevereiro,2025-02,T1,Domingo,23,19:15,19,Noite,Sundae,Cookies,3,21.03,21.03,7.01,7.01,Alves,RN,App,False,Sem Promocao,CLI1207,True,11,False,False,False,True
88,2025-04-08,2025,4,Abril,2025-04,T2,Terca,8,11:45,11,Manha,Milkshake,Morango,5,67.1,67.1,13.42,13.42,Pacheco,MA,Parceiro,False,Sem Promocao,CLI2635,True,7,False,False,False,True
89,2025-08-03,2025,8,Agosto,2025-08,T3,Domingo,3,17:45,17,Tarde,Sundae,Cookies,2,7.91,7.91,3.96,3.96,Silveira,AC,App,True,Com Promocao,CLI5270,True,5,False,False,False,True
90,2025-06-12,2025,6,Junho,2025-06,T2,Quinta,12,08:15,8,Manha,Milkshake,Açaí,2,20.83,20.83,10.42,10.42,Da Costa Do Amparo,AL,App,True,Com Promocao,CLI7420,True,8,False,False,False,True
91,2025-06-01,2025,6,Junho,2025-06,T2,Domingo,1,14:30,14,Tarde,Casquinha,Baunilha,4,30.2,30.2,7.55,7.55,Guerra Verde,RS,App,False,Sem Promocao,CLI1228,True,8,False,False,False,True
92,2025-02-28,2025,2,Fevereiro,2025-02,T1,Sexta,28,08:45,8,Manha,Pote,Limão,2,14.84,14.84,7.42,7.42,Caldeira,BA,Parceiro,True,Com Promocao,CLI3127,True,3,False,False,False,True
93,2025-06-04,2025,6,Junho,2025-06,T2,Quarta,4,12:45,12,Tarde,Sundae,Açaí,3,40.17,40.17,13.39,13.39,Pires,RR,Loja Física,False,Sem Promocao,CLI4294,True,6,False,False,False,True
94,2025-07-08,2025,7,Julho,2025-07,T3,Terca,8,08:00,8,Manha,Pote,Limão,3,26.96,26.96,8.99,8.99,Fonseca Alegre,MT,App,True,Com Promocao,CLI1503,True,5,False,False,False,True
95,2025-07-11,2025,7,Julho,2025-07,T3,Sexta,11,16:15,16,Tarde,Sundae,Morango,2,17.56,17.56,8.78,8.78,Cassiano Do Norte,SP,Loja Física,False,Sem Promocao,CLI9664,True,12,False,False,False,True
96,2025-06-27,2025,6,Junho,2025-06,T2,Sexta,27,21:15,21,Noite,Pote,Limão,5,30.55,30.55,6.11,6.11,Cunha,AL,App,False,Sem Promocao,CLI9154,True,4,False,False,False,True
97,2025-05-28,2025,5,Maio,2025-05,T2,Quarta,28,22:45,22,Noite,Picolé,Cookies,4,28.42,28.42,7.1,7.1,Almeida,AP,Parceiro,True,Com Promocao,CLI6824,True,7,False,False,False,True
98,2025-07-18,2025,7,Julho,2025-07,T3,Sexta,18,17:45,17,Tarde,Sundae,Morango,3,39.42,39.42,13.14,13.14,Gonçalves,PA,Parceiro,False,Sem Promocao,CLI9335,True,8,False,False,False,True
99,2025-03-06,2025,3,Marco,2025-03,T1,Quinta,6,14:30,14,Tarde,Milkshake,Baunilha,4,47.64,47.64,11.91,11.91,Campinas,SC,App,False,Sem Promocao,CLI8285,True,6,False,False,False,True
100,2025-05-14,2025,5,Maio,2025-05,T2,Quarta,14,10:30,10,Manha,Pote,Morango,2,12.78,12.78,6.39,6.39,Rezende Verde,PB,App,False,Sem Promocao,CLI3120,True,6,False,False,False,True
101,2025-07-03,2025,7,Julho,2025-07,T3,Quinta,3,09:45,9,Manha,Sundae,Caramelo,2,17.02,17.02,8.51,8.51,Dias Da Mata,ES,App,True,Com Promocao,CLI3303,True,6,False,False,False,True
102,2025-03-11,2025,3,Marco,2025-03,T1,Terca,11,13:00,13,Tarde,Pote,Açaí,2,18.8,18.8,9.4,9.4,Moura Da Praia,SE,App,False,Sem Promocao,CLI8034,True,4,False,False,False,True
103,2025-08-16,2025,8,Agosto,2025-08,T3,Sabado,16,16:30,16,Tarde,Picolé,Açaí,3,22.02,22.02,7.34,7.34,Cunha De Nogueira,RR,Loja Física,False,Sem Promocao,CLI9409,True,4,False,False,False,True
104,2025-07-17,2025,7,Julho,2025-07,T3,Quinta,17,13:30,13,Tarde,Casquinha,Menta,5,59.7,59.7,11.94,11.94,Pires,MT,App,True,Com Promocao,CLI5936,True,6,False,False,False,True
105,2025-07-14,2025,7,Julho,2025-07,T3,Segunda,14,12:30,12,Tarde,Milkshake,Caramelo,4,16.46,16.46,4.12,4.12,Moura Grande,TO,App,True,Com Promocao,CLI1269,True,10,False,False,False,True
106,2025-08-10,2025,8,Agosto,2025-08,T3,Domingo,10,12:15,12,Tarde,Picolé,Cookies,4,39.56,39.56,9.89,9.89,Cirino De Duarte,AM,App,True,Com Promocao,CLI8451,True,8,False,False,False,True
107,2025-03-16,2025,3,Marco,2025-03,T1,Domingo,16,18:00,18,Noite,Casquinha,Chocolate,4,53.0,53.0,13.25,13.25,Pinto Do Norte,RS,App,False,Sem Promocao,CLI5342,True,5,False,False,False,True
108,2025-05-29,2025,5,Maio,2025-05,T2,Quinta,29,10:30,10,Manha,Casquinha,Limão,2,12.67,12.67,6.34,6.34,Vargas,PI,Loja Física,True,Com Promocao,CLI5457,True,7,False,False,False,True
109,2025-04-30,2025,4,Abril,2025-04,T2,Quarta,30,14:30,14,Tarde,Casquinha,Caramelo,3,35.67,35.67,11.89,11.89,Vasconcelos De Cunha,AM,Parceiro,False,Sem Promocao,CLI8196,True,7,False,False,False,True
110,2025-06-27,2025,6,Junho,2025-06,T2,Sexta,27,13:30,13,Tarde,Milkshake,Menta,3,29.97,29.97,9.99,9.99,Guerra De Goiás,SC,Parceiro,False,Sem Promocao,CLI6125,True,3,False,False,False,True
111,2025-07-27,2025,7,Julho,2025-07,T3,Domingo,27,22:45,22,Noite,Casquinha,Baunilha,2,12.8,12.8,6.4,6.4,Fogaça Do Amparo,ES,App,False,Sem Promocao,CLI8747,True,2,False,False,False,True
112,2025-03-27,2025,3,Marco,2025-03,T1,Quinta,27,12:30,12,Tarde,Casquinha,Açaí,3,43.56,43.56,14.52,14.52,Rocha Da Mata,GO,Parceiro,False,Sem Promocao,CLI1174,True,6,False,False,False,True
114,2025-06-25,2025,6,Junho,2025-06,T2,Quarta,25,22:00,22,Noite,Pote,Açaí,4,33.32,33.32,8.33,8.33,Garcia Do Sul,BA,Loja Física,True,Com Promocao,CLI6218,True,10,False,False,False,True
115,2025-05-14,2025,5,Maio,2025-05,T2,Quarta,14,08:45,8,Manha,Sundae,Menta,3,27.83,27.83,9.28,9.28,Fonseca,AP,Loja Física,True,Com Promocao,CLI5564,True,6,False,False,False,True
116,2025-03-28,2025,3,Marco,2025-03,T1,Sexta,28,18:45,18,Noite,Sundae,Limão,1,12.31,12.31,12.31,12.31,Melo Dos Dourados,AC,Parceiro,False,Sem Promocao,CLI5511,True,8,False,False,False,True
117,2025-07-03,2025,7,Julho,2025-07,T3,Quinta,3,08:30,8,Manha,Casquinha,Limão,3,14.55,14.55,4.85,4.85,Novaes Do Galho,MT,App,True,Com Promocao,CLI2867,True,4,False,False,False,True
118,2025-04-18,2025,4,Abril,2025-04,T2,Sexta,18,11:45,11,Manha,Sundae,Açaí,2,20.89,20.89,10.44,10.44,Albuquerque,PE,Parceiro,True,Com Promocao,CLI5634,True,11,False,False,False,True
119,2025-03-02,2025,3,Marco,2025-03,T1,Domingo,2,11:00,11,Manha,Pote,Baunilha,5,42.4,42.4,8.48,8.48,Alves De Nascimento,PA,Loja Física,True,Com Promocao,CLI2281,True,6,False,False,False,True
120,2025-05-11,2025,5,Maio,2025-05,T2,Domingo,11,18:00,18,Noite,Casquinha,Caramelo,4,44.93,44.93,11.23,11.23,Melo Do Norte,SC,Parceiro,True,Com Promocao,CLI3806,True,9,False,False,False,True
121,2025-04-14,2025,4,Abril,2025-04,T2,Segunda,14,08:00,8,Manha,Pote,Morango,3,31.65,31.65,10.55,10.55,Rocha Do Sul,RR,Parceiro,True,Com Promocao,CLI2946,True,5,False,False,False,True
122,2025-04-04,2025,4,Abril,2025-04,T2,Sexta,4,22:15,22,Noite,Casquinha,Baunilha,4,22.51,22.51,5.63,5.63,Sousa Da Serra,SC,Parceiro,True,Com Promocao,CLI4995,True,8,False,False,False,True
