ID_Transacao,Data,Hora,Tipo_Sorvete,Sabor,Quantidade,Valor_Total,Cidade,Estado,Canal_Venda,Promocao,ID_Cliente
130,2025-07-31,14:45,Casquinha,Baunilha,4,47.22,Cavalcante,SE,Parceiro,True,CLI8829
131,2025-04-02,20:30,Milkshake,Cookies,1,7.96,da Mata do Norte,RO,App,False,CLI3395
132,2025-03-28,20:00,Milkshake,Morango,5,37.93,Campinas,MT,Loja Física,True,CLI7822
133,2025-08-18,11:45,Sundae,Baunilha,5,28.45,Sousa Paulista,RO,App,False,CLI2451
134,2025-07-14,14:45,Picolé,Morango,1,14.27,Garcia da Mata,SE,App,False,CLI5487
135,2025-03-09,9:00,Casquinha,Menta,3,27.11,Azevedo,MS,App,True,CLI4462
136,2025-04-17,21:00,Picolé,Limão,2,25.22,Teixeira do Oeste,AM,App,False,CLI9633
137,2025-04-29,8:15,Milkshake,Baunilha,4,59.24,Gomes da Mata,BA,App,False,CLI5962
138,2025-04-15,20:00,Picolé,Cookies,3,35.19,da Costa do Campo,AP,App,False,CLI9606
139,2025-08-15,11:30,Picolé,Cookies,4,29.16,Mendes dos Dourados,AC,App,False,CLI7288
140,2025-03-02,17:30,Sundae,Menta,4,18.55,Cardoso,GO,App,True,CLI1881
141,2025-03-04,12:45,Milkshake,Caramelo,4,20.08,Aragão,SE,Parceiro,True,CLI3949
142,2025-05-01,8:00,Pote,Caramelo,2,18.38,Machado de Minas,CE,Parceiro,True,CLI5675
143,2025-04-08,20:30,Milkshake,Menta,5,71.0,da Conceição de Siqueira,RR,App,False,CLI3441
144,2025-07-21,16:30,Pote,Chocolate,4,29.12,da Conceição,RO,App,False,CLI6469
145,2025-06-24,11:45,Casquinha,,2,,,MG,Loja Física,False,CLI3848
146,2025-04-25,20:30,Pote,Caramelo,1,10.11,Albuquerque de Minas,SC,Loja Física,True,CLI6518
147,2025-06-04,11:45,Pote,Caramelo,4,56.0,Cavalcanti,PR,Parceiro,False,CLI2053
148,2025-03-13,17:45,Pote,Morango,2,11.72,Almeida da Mata,MA,App,True,CLI1345
149,2025-06-09,10:00,Casquinha,Cookies,1,5.49,Rocha de Goiás,RN,Loja Física,False,CLI4647
150,2025-04-17,18:15,Sundae,Baunilha,3,22.6,Porto de Costa,AP,Loja Física,True,CLI6645
151,2025-04-03,18:30,Pote,Chocolate,3,34.92,Leão,DF,Parceiro,False,CLI9519
152,2025-05-06,10:45,Pote,Açaí,1,6.92,Cunha Grande,PA,App,False,CLI4732
153,2025-06-19,11:45,Pote,Chocolate,4,42.8,Jesus,RR,App,False,CLI7690
154,2025-04-25,14:45,Picolé,Caramelo,4,48.42,da Cunha,PI,Loja Física,True,CLI9288
155,2025-08-12,12:00,Casquinha,Limão,5,68.55,da Mata Paulista,MA,App,False,CLI8211
156,2025-06-07,17:00,Pote,Chocolate,4,51.32,da Costa,ES,Parceiro,False,CLI6420
157,2025-04-01,9:00,Picolé,Limão,2,15.31,Rezende,MT,Parceiro,True,CLI2663
158,2025-04-24,17:00,Casquinha,Caramelo,2,19.84,Borges das Pedras,AC,Parceiro,False,CLI8530
159,2025-04-16,17:15,Picolé,Baunilha,1,9.62,Jesus,GO,Parceiro,True,CLI2032
160,2025-07-28,17:00,Sundae,Açaí,5,46.6,Gomes,PI,Parceiro,True,CLI8387
161,2025-02-27,15:15,Casquinha,Chocolate,3,38.7,Fonseca,PE,Parceiro,False,CLI2510
162,2025-03-01,14:45,Casquinha,Baunilha,-1,-5.8,da Costa,AL,App,False,CLI8117
163,2025-08-20,8:45,Pote,Cookies,1,14.14,Rodrigues,MS,Parceiro,False,CLI5004
164,2025-07-09,15:30,Pote,Limão,4,28.0,Correia Grande,RJ,Loja Física,False,CLI1528
165,2025-02-21,8:15,Milkshake,Açaí,5,34.4,Vieira,AL,Loja Física,False,CLI7807
166,2025-08-07,21:15,Pote,Cookies,5,48.97,Pastor da Serra,RR,Parceiro,True,CLI1751
167,2025-07-14,19:15,Picolé,Caramelo,4,46.56,da Cruz do Amparo,PR,App,True,CLI4466
168,2025-07-11,21:15,Pote,Menta,4,32.96,Oliveira do Oeste,AC,Loja Física,False,CLI7396
169,2025-02-24,12:00,Casquinha,Chocolate,3,41.92,Melo,SP,Parceiro,True,CLI2842
170,2025-02-26,11:00,Sundae,Chocolate,5,43.96,Teixeira de Novais,GO,Parceiro,True,CLI4026
171,2025-07-31,19:45,Casquinha,Cookies,4,52.8,Almeida,SE,Parceiro,False,CLI7434
172,2025-03-12,22:30,Casquinha,Cookies,2,16.92,Caldeira,AM,Loja Física,True,CLI1065
173,2025-02-25,9:15,Milkshake,Menta,5,28.01,Porto da Prata,MS,Parceiro,True,CLI1826
174,2025-03-07,13:15,Milkshake,Açaí,4,34.88,Rezende,DF,App,False,CLI5608
175,2025-06-22,22:15,Casquinha,Limão,4,41.53,Vieira,MG,App,True,CLI7455
176,2025-02-26,13:00,Sundae,Chocolate,4,39.16,Silveira de Sales,RO,App,False,CLI4024
177,2025-04-16,19:45,Casquinha,Limão,4,58.84,Moreira do Galho,RO,Loja Física,False,CLI9139
178,2025-05-06,10:45,Picolé,Chocolate,4,51.04,Montenegro da Serra,PR,Loja Física,False,CLI9584
179,2025-05-15,10:45,Milkshake,Cookies,6,72.84,Campinas,MG,Parceiro,True,CLI6294
180,2025-07-18,8:45,Sundae,Menta,1,7.78,Brito de Cardoso,PB,App,False,CLI3219
181,2025-07-31,12:45,Picolé,Baunilha,2,25.34,Leão do Sul,RO,Parceiro,False,CLI4720
182,2025-05-31,8:30,Sundae,Morango,4,44.03,Garcia,MS,Loja Física,True,CLI8385
183,2025-08-02,9:30,Pote,Limão,4,32.36,Pires,AP,Loja Física,False,CLI6901
184,2025-06-09,20:15,Sundae,Caramelo,5,32.55,Camargo do Amparo,SC,Loja Física,True,CLI4418
185,2025-08-02,8:00,Sundae,Caramelo,4,40.12,Cavalcante,SE,Loja Física,True,CLI9820
186,2025-06-12,11:30,Milkshake,Menta,3,15.0,Souza do Campo,AP,Loja Física,True,CLI2497
187,2025-03-03,10:30,Sundae,Caramelo,1,9.12,Guerra,MG,Loja Física,True,CLI2848
188,2025-03-05,18:15,Picolé,Cookies,1,6.08,das Neves,PB,App,False,CLI4948
189,2025-04-04,12:30,Casquinha,Caramelo,1,10.83,Sousa,MT,Parceiro,True,CLI8436
190,2025-04-04,17:30,Casquinha,Açaí,4,23.88,Cardoso do Oeste,RJ,Loja Física,False,CLI6959
191,2025-04-25,20:00,Picolé,Chocolate,1,10.48,Martins do Amparo,AP,App,False,CLI1582
192,2025-08-03,18:30,Casquinha,Limão,2,16.06,Abreu,PR,Parceiro,False,CLI4731
193,2025-04-17,18:30,Pote,Cookies,1,6.52,Castro de Vargas,MT,Loja Física,True,CLI3645
194,2025-02-25,9:30,Casquinha,Caramelo,5,38.35,Albuquerque,PE,Loja Física,False,CLI3666
195,2025-07-11,9:45,Milkshake,Cookies,3,29.33,Vasconcelos de Oliveira,MA,Parceiro,True,CLI8816
196,2025-05-19,16:30,Casquinha,Caramelo,2,16.57,Silveira,MA,App,True,CLI4932
197,2025-04-04,17:15,Sundae,,3,,,AM,Loja Física,True,CLI8675
198,2025-08-13,15:00,Picolé,Açaí,5,47.47,Teixeira,RO,Loja Física,True,CLI7555
199,2025-07-17,15:15,Milkshake,Chocolate,5,38.3,Freitas da Mata,AC,App,False,CLI8057
200,2025-05-14,20:45,Milkshake,Baunilha,4,49.4,Cassiano,GO,App,True,CLI7886
201,2025-03-03,18:15,Casquinha,Baunilha,5,44.26,da Mata do Norte,SC,Parceiro,True,CLI7100
202,2025-03-09,14:45,Milkshake,Morango,3,23.35,Aragão Grande,PR,Parceiro,True,CLI6242
203,2025-02-27,9:15,Milkshake,Menta,2,18.31,Azevedo Paulista,PB,Parceiro,True,CLI9577
204,2025-05-24,17:15,Casquinha,Limão,5,67.96,Monteiro,RR,Loja Física,True,CLI5942
205,2025-03-25,11:15,Sundae,Limão,2,19.82,Pacheco,PB,Parceiro,True,CLI1100
206,2025-06-02,20:15,Picolé,Cookies,2,15.59,Fonseca da Praia,TO,App,True,CLI8389
207,2025-06-20,21:00,Milkshake,Morango,4,19.93,Campinas,AP,App,True,CLI7119
208,2025-04-03,9:00,Milkshake,Menta,1,11.22,Andrade da Praia,RS,Parceiro,False,CLI4379
209,2025-06-16,12:15,Sundae,Cookies,4,30.04,Sales de Nunes,RJ,Parceiro,False,CLI9378
210,2025-03-26,22:30,Picolé,Chocolate,3,44.88,Lima,MT,Parceiro,False,CLI2003
211,2025-06-10,20:45,Casquinha,Cookies,5,32.5,Rios,DF,App,False,CLI7334
212,2025-07-19,13:30,Picolé,Açaí,5,38.15,Abreu,SP,Parceiro,False,CLI5287
213,2025-07-23,12:45,Milkshake,Cookies,4,40.12,Campinas,MS,Loja Física,False,CLI1080
214,2025-08-20,12:30,Sundae,Morango,1,4.46,Rodrigues,MG,Loja Física,True,CLI9306
215,2025-06-16,11:30,Milkshake,Chocolate,4,35.56,Casa Grande,PA,Parceiro,False,CLI5613
216,2025-08-05,8:45,Pote,Baunilha,2,9.23,Rios de Montenegro,MT,App,True,CLI4443
217,2025-05-16,19:15,Picolé,Cookies,5,46.85,Pacheco,CE,Loja Física,False,CLI2620
218,2025-04-30,9:00,Picolé,Açaí,1,8.57,Caldeira,RN,Loja Física,False,CLI5738
219,2025-06-03,22:45,Casquinha,Cookies,5,60.8,da Paz,BA,App,False,CLI4601
220,2025-05-29,22:00,Casquinha,Caramelo,1,11.61,Novais de Ramos,MS,Parceiro,True,CLI8074
221,2025-08-10,19:45,Casquinha,Limão,4,31.6,da Mota,TO,Loja Física,False,CLI5848
222,2025-06-25,11:30,Pote,Morango,-2,-11.84,Cassiano,BA,Loja Física,False,CLI1951
223,2025-05-29,8:00,Milkshake,Baunilha,6,34.8,Campinas,ES,App,False,CLI5517
224,2025-04-30,18:30,Casquinha,Açaí,5,40.7,Rocha,PB,Loja Física,False,CLI1056
225,2025-04-07,14:15,Sundae,Limão,4,57.08,da Mota do Galho,SE,App,False,CLI4170
226,2025-08-02,20:45,Milkshake,Morango,3,32.22,Nunes,RN,Loja Física,False,CLI6100
227,2025-07-27,17:45,Picolé,Cookies,5,73.05,das Neves de Sá,RS,Parceiro,False,CLI9217
228,2025-05-24,8:30,Milkshake,Cookies,4,33.18,Campinas,AM,Loja Física,True,CLI5773
229,2025-05-17,16:15,Pote,Limão,1,11.06,Martins da Serra,AC,Parceiro,False,CLI9254
230,2025-07-03,15:15,Pote,Morango,5,51.6,Macedo,DF,Loja Física,False,CLI2704
231,2025-03-23,20:45,Sundae,Açaí,4,56.84,Campos do Amparo,SC,App,False,CLI1402
232,2025-06-07,8:00,Milkshake,Baunilha,2,24.8,da Rocha,SE,Parceiro,False,CLI3018
233,2025-04-10,17:15,Sundae,Cookies,4,31.28,Aragão do Campo,RR,Parceiro,True,CLI2200
234,2025-03-20,12:00,Milkshake,Cookies,2,22.64,Pimenta do Oeste,RR,App,True,CLI9829
235,2025-04-04,15:30,Sundae,Cookies,1,11.42,Santos da Prata,AM,App,False,CLI9718
236,2025-05-10,12:45,Sundae,Caramelo,4,26.75,Oliveira Alegre,PI,Parceiro,True,CLI5694
237,2025-05-09,9:30,Picolé,Limão,4,27.35,Correia de Macedo,PR,App,True,CLI7124
238,2025-08-18,20:00,Milkshake,Baunilha,4,31.36,Alves de Ramos,ES,Loja Física,True,CLI4159
239,2025-04-29,20:30,Casquinha,Cookies,5,33.0,Albuquerque,PB,App,True,CLI5014
240,2025-03-29,13:30,Pote,Caramelo,4,43.44,Abreu,PE,App,False,CLI8498
241,2025-04-08,21:45,Picolé,Baunilha,3,23.4,Cavalcanti do Campo,RR,Parceiro,False,CLI8081
242,2025-06-17,8:00,Pote,Chocolate,4,55.72,Pastor da Serra,MS,Loja Física,False,CLI3812
243,2025-06-24,12:30,Pote,Chocolate,5,53.26,das Neves,RN,Loja Física,True,CLI2017
244,2025-04-12,20:45,Pote,Morango,1,14.13,da Costa Grande,SC,Parceiro,False,CLI3325
245,2025-05-18,14:15,Pote,Açaí,5,44.71,Borges Grande,SP,Loja Física,True,CLI8646
246,2025-08-16,11:15,Pote,Baunilha,5,33.3,Rodrigues dos Dourados,AL,Parceiro,False,CLI4706
247,2025-07-22,19:30,Pote,Limão,5,39.44,Teixeira Verde,ES,Parceiro,True,CLI6248
248,2025-06-02,16:15,Picolé,Menta,5,73.45,Borges de Costa,MA,Parceiro,False,CLI7135
249,2025-04-11,12:00,Sundae,Caramelo,3,14.17,Pacheco,MG,Parceiro,True,CLI8210
250,2025-04-19,12:00,Sundae,Morango,1,13.51,Sousa de Moraes,AM,Parceiro,True,CLI7692
251,2025-08-21,11:30,Sundae,Cookies,5,51.18,Carvalho do Oeste,PA,Parceiro,True,CLI9531
252,2025-06-06,11:45,Casquinha,Caramelo,1,9.8,Fernandes,RN,App,True,CLI4718
253,2025-03-28,11:30,Picolé,Cookies,4,30.12,Fernandes,DF,Loja Física,False,CLI4502
254,2025-05-06,22:15,Milkshake,Caramelo,1,9.08,Lima,PR,Loja Física,True,CLI7152
255,2025-05-10,11:30,Casquinha,Limão,1,6.87,Cassiano da Serra,AL,App,False,CLI5779
256,2025-05-06,21:30,Picolé,Morango,1,10.41,Costela,SC,App,False,CLI8991
257,2025-08-05,9:45,Sundae,Cookies,5,33.74,Ribeiro do Amparo,RJ,Loja Física,True,CLI5471
258,2025-08-08,13:30,Milkshake,Açaí,2,11.48,Castro de Moraes,PR,App,False,CLI7271
259,2025-04-25,20:45,Milkshake,Caramelo,4,27.72,Campinas,PE,App,False,CLI4420
260,2025-06-17,15:00,Picolé,Cookies,4,30.64,da Luz da Serra,SP,App,True,CLI8801
261,2025-05-27,13:00,Casquinha,Caramelo,-1,-11.1,Moura,DF,Parceiro,False,CLI9637
262,2025-04-16,14:45,Picolé,Baunilha,1,9.72,Dias dos Dourados,RN,App,False,CLI9043
263,2025-03-11,8:45,Pote,Menta,2,9.53,da Mata,AC,App,True,CLI6798
264,2025-04-15,15:45,Pote,Açaí,1,5.73,Costa,PI,App,False,CLI8146
265,2025-04-08,19:45,Pote,Chocolate,3,33.54,Rodrigues das Flores,RN,Parceiro,False,CLI5772
