id_transacao,data_venda,id_produto,id_cliente,id_canal,quantidade_vendida,receita_transacao,valor_transacao,valor_unitario_medio,promocao,status_promocao,hora_venda,hora,faixa_horaria,flag_outlier_valor_total,flag_registro_valido_powerbi
24,2025-05-06,18,CLI9370,1,2,10.5,10.5,5.25,True,Com Promocao,19:45,19,Noite,False,True
27,2025-07-17,28,CLI5740,1,5,49.99,49.99,10.0,True,Com Promocao,11:15,11,Manha,False,True
28,2025-07-14,24,CLI6575,1,5,57.05,57.05,11.41,False,Sem Promocao,14:00,14,Tarde,False,True
29,2025-03-13,17,CLI2348,3,3,30.78,30.78,10.26,False,Sem Promocao,17:45,17,Tarde,False,True
30,2025-06-13,32,CLI6340,1,4,23.68,23.68,5.92,False,Sem Promocao,09:15,9,Manha,False,True
31,2025-02-22,13,CLI6309,1,5,40.75,40.75,8.15,False,Sem Promocao,08:45,8,Manha,False,True
32,2025-07-11,18,CLI5857,2,1,6.37,6.37,6.37,True,Com Promocao,21:15,21,Noite,False,True
33,2025-08-31,18,CLI4913,2,2,20.34,20.34,10.17,False,Sem Promocao,22:15,22,Noite,False,True
34,2025-03-02,21,CLI5267,2,1,8.01,8.01,8.01,True,Com Promocao,12:30,12,Tarde,False,True
35,2025-06-20,38,CLI9825,2,4,34.2,34.2,8.55,False,Sem Promocao,13:30,13,Tarde,False,True
36,2025-03-04,39,CLI5262,2,2,15.9,15.9,7.95,True,Com Promocao,11:30,11,Manha,False,True
37,2025-08-15,13,CLI6293,1,3,39.08,39.08,13.03,True,Com Promocao,09:30,9,Manha,False,True
38,2025-04-08,30,CLI7520,3,3,26.43,26.43,8.81,False,Sem Promocao,15:45,15,Tarde,False,True
39,2025-06-01,16,CLI3479,1,2,12.02,12.02,6.01,False,Sem Promocao,14:45,14,Tarde,False,True
40,2025-03-13,15,CLI4475,3,6,37.17,37.17,6.2,True,Com Promocao,11:30,11,Manha,False,True
42,2025-08-06,10,CLI1960,1,2,8.51,8.51,4.26,True,Com Promocao,20:00,20,Noite,False,True
43,2025-05-11,11,CLI4258,2,5,30.3,30.3,6.06,False,Sem Promocao,18:45,18,Noite,False,True
44,2025-05-31,22,CLI9596,3,3,22.17,22.17,7.39,False,Sem Promocao,14:15,14,Tarde,False,True
45,2025-02-21,22,CLI6998,3,2,19.76,19.76,9.88,True,Com Promocao,14:15,14,Tarde,False,True
46,2025-08-19,40,CLI7370,1,5,39.14,39.14,7.83,True,Com Promocao,14:15,14,Tarde,False,True
47,2025-07-11,28,CLI6707,3,5,52.7,52.7,10.54,True,Com Promocao,09:15,9,Manha,False,True
48,2025-07-26,21,CLI3398,3,4,32.74,32.74,8.18,True,Com Promocao,16:45,16,Tarde,False,True
49,2025-04-21,10,CLI9491,2,5,40.38,40.38,8.08,True,Com Promocao,08:30,8,Manha,False,True
50,2025-04-12,14,CLI3644,2,1,7.5,7.5,7.5,False,Sem Promocao,14:15,14,Tarde,False,True
51,2025-08-12,18,CLI9456,1,3,25.38,25.38,8.46,False,Sem Promocao,20:00,20,Noite,False,True
52,2025-07-05,15,CLI8317,3,6,37.86,37.86,6.31,False,Sem Promocao,14:30,14,Tarde,False,True
53,2025-05-20,32,CLI7133,3,2,13.64,13.64,6.82,True,Com Promocao,20:45,20,Noite,False,True
54,2025-03-19,20,CLI4042,1,5,46.0,46.0,9.2,False,Sem Promocao,18:30,18,Noite,False,True
55,2025-08-24,12,CLI3695,2,5,71.1,71.1,14.22,False,Sem Promocao,19:45,19,Noite,False,True
56,2025-07-24,10,CLI4777,2,5,60.34,60.34,12.07,True,Com Promocao,12:15,12,Tarde,False,True
57,2025-06-26,33,CLI9099,2,5,36.3,36.3,7.26,False,Sem Promocao,21:15,21,Noite,False,True
58,2025-07-11,8,CLI2793,3,2,11.53,11.53,5.76,True,Com Promocao,12:15,12,Tarde,False,True
59,2025-04-07,22,CLI8959,2,3,20.22,20.22,6.74,False,Sem Promocao,20:00,20,Noite,False,True
60,2025-04-06,33,CLI1435,2,3,38.79,38.79,12.93,True,Com Promocao,22:15,22,Noite,False,True
61,2025-03-17,30,CLI2764,3,4,33.84,33.84,8.46,False,Sem Promocao,10:00,10,Manha,False,True
62,2025-04-30,1,CLI7187,2,1,10.22,10.22,10.22,True,Com Promocao,13:30,13,Tarde,False,True
63,2025-03-19,27,CLI9347,1,5,42.79,42.79,8.56,True,Com Promocao,18:30,18,Noite,False,True
64,2025-06-09,31,CLI7760,3,5,57.9,57.9,11.58,False,Sem Promocao,16:15,16,Tarde,False,True
65,2025-06-05,31,CLI7383,1,1,6.44,6.44,6.44,True,Com Promocao,09:15,9,Manha,False,True
66,2025-05-22,2,CLI1027,3,5,54.4,54.4,10.88,False,Sem Promocao,16:00,16,Tarde,False,True
67,2025-05-27,26,CLI3695,1,2,18.66,18.66,9.33,False,Sem Promocao,12:00,12,Tarde,False,True
68,2025-03-17,9,CLI8182,3,2,19.74,19.74,9.87,False,Sem Promocao,10:30,10,Manha,False,True
69,2025-08-12,23,CLI8420,2,3,22.56,22.56,7.52,False,Sem Promocao,22:15,22,Noite,False,True
70,2025-05-05,20,CLI1619,2,5,34.0,34.0,6.8,False,Sem Promocao,17:30,17,Tarde,False,True
71,2025-05-06,7,CLI4873,2,1,8.22,8.22,8.22,False,Sem Promocao,17:45,17,Tarde,False,True
72,2025-05-26,9,CLI8639,1,4,16.64,16.64,4.16,True,Com Promocao,08:15,8,Manha,False,True
73,2025-08-11,25,CLI5046,1,1,8.08,8.08,8.08,False,Sem Promocao,13:00,13,Tarde,False,True
74,2025-08-18,28,CLI8186,2,3,29.55,29.55,9.85,True,Com Promocao,18:00,18,Noite,False,True
75,2025-03-06,35,CLI8287,1,5,39.27,39.27,7.85,True,Com Promocao,10:15,10,Manha,False,True
76,2025-05-16,14,CLI3404,1,3,13.96,13.96,4.65,True,Com Promocao,13:00,13,Tarde,False,True
77,2025-07-24,5,CLI4628,2,5,64.25,64.25,12.85,True,Com Promocao,17:15,17,Tarde,False,True
78,2025-03-05,10,CLI9526,3,3,30.54,30.54,10.18,False,Sem Promocao,13:15,13,Tarde,False,True
79,2025-04-17,38,CLI4571,1,1,7.35,7.35,7.35,False,Sem Promocao,11:30,11,Manha,False,True
80,2025-03-19,9,CLI1814,3,5,55.3,55.3,11.06,False,Sem Promocao,11:15,11,Manha,False,True
81,2025-07-14,11,CLI9559,3,3,37.47,37.47,12.49,False,Sem Promocao,11:00,11,Manha,False,True
82,2025-03-21,30,CLI7648,3,3,29.07,29.07,9.69,True,Com Promocao,16:45,16,Tarde,False,True
83,2025-02-28,35,CLI4232,3,2,23.98,23.98,11.99,False,Sem Promocao,15:30,15,Tarde,False,True
84,2025-07-04,7,CLI7608,1,4,29.79,29.79,7.45,True,Com Promocao,10:45,10,Manha,False,True
85,2025-07-01,30,CLI8733,3,1,8.92,8.92,8.92,True,Com Promocao,15:45,15,Tarde,False,True
86,2025-05-08,18,CLI8023,3,2,29.0,29.0,14.5,False,Sem Promocao,10:30,10,Manha,False,True
87,2025-02-23,37,CLI1207,1,3,21.03,21.03,7.01,False,Sem Promocao,19:15,19,Noite,False,True
88,2025-04-08,16,CLI2635,3,5,67.1,67.1,13.42,False,Sem Promocao,11:45,11,Manha,False,True
89,2025-08-03,37,CLI5270,1,2,7.91,7.91,3.96,True,Com Promocao,17:45,17,Tarde,False,True
90,2025-06-12,9,CLI7420,1,2,20.83,20.83,10.42,True,Com Promocao,08:15,8,Manha,False,True
91,2025-06-01,2,CLI1228,1,4,30.2,30.2,7.55,False,Sem Promocao,14:30,14,Tarde,False,True
92,2025-02-28,30,CLI3127,3,2,14.84,14.84,7.42,True,Com Promocao,08:45,8,Manha,False,True
93,2025-06-04,33,CLI4294,2,3,40.17,40.17,13.39,False,Sem Promocao,12:45,12,Tarde,False,True
94,2025-07-08,30,CLI1503,1,3,26.96,26.96,8.99,True,Com Promocao,08:00,8,Manha,False,True
95,2025-07-11,40,CLI9664,2,2,17.56,17.56,8.78,False,Sem Promocao,16:15,16,Tarde,False,True
96,2025-06-27,30,CLI9154,1,5,30.55,30.55,6.11,False,Sem Promocao,21:15,21,Noite,False,True
97,2025-05-28,21,CLI6824,3,4,28.42,28.42,7.1,True,Com Promocao,22:45,22,Noite,False,True
98,2025-07-18,40,CLI9335,3,3,39.42,39.42,13.14,False,Sem Promocao,17:45,17,Tarde,False,True
99,2025-03-06,10,CLI8285,1,4,47.64,47.64,11.91,False,Sem Promocao,14:30,14,Tarde,False,True
100,2025-05-14,32,CLI3120,1,2,12.78,12.78,6.39,False,Sem Promocao,10:30,10,Manha,False,True
101,2025-07-03,35,CLI3303,1,2,17.02,17.02,8.51,True,Com Promocao,09:45,9,Manha,False,True
102,2025-03-11,25,CLI8034,1,2,18.8,18.8,9.4,False,Sem Promocao,13:00,13,Tarde,False,True
103,2025-08-16,17,CLI9409,2,3,22.02,22.02,7.34,False,Sem Promocao,16:30,16,Tarde,False,True
104,2025-07-17,7,CLI5936,1,5,59.7,59.7,11.94,True,Com Promocao,13:30,13,Tarde,False,True
105,2025-07-14,11,CLI1269,1,4,16.46,16.46,4.12,True,Com Promocao,12:30,12,Tarde,False,True
106,2025-08-10,21,CLI8451,1,4,39.56,39.56,9.89,True,Com Promocao,12:15,12,Tarde,False,True
107,2025-03-16,4,CLI5342,1,4,53.0,53.0,13.25,False,Sem Promocao,18:00,18,Noite,False,True
108,2025-05-29,6,CLI5457,2,2,12.67,12.67,6.34,True,Com Promocao,10:30,10,Manha,False,True
109,2025-04-30,3,CLI8196,3,3,35.67,35.67,11.89,False,Sem Promocao,14:30,14,Tarde,False,True
110,2025-06-27,15,CLI6125,3,3,29.97,29.97,9.99,False,Sem Promocao,13:30,13,Tarde,False,True
111,2025-07-27,2,CLI8747,1,2,12.8,12.8,6.4,False,Sem Promocao,22:45,22,Noite,False,True
112,2025-03-27,1,CLI1174,3,3,43.56,43.56,14.52,False,Sem Promocao,12:30,12,Tarde,False,True
114,2025-06-25,25,CLI6218,2,4,33.32,33.32,8.33,True,Com Promocao,22:00,22,Noite,False,True
115,2025-05-14,39,CLI5564,2,3,27.83,27.83,9.28,True,Com Promocao,08:45,8,Manha,False,True
116,2025-03-28,38,CLI5511,3,1,12.31,12.31,12.31,False,Sem Promocao,18:45,18,Noite,False,True
117,2025-07-03,6,CLI2867,1,3,14.55,14.55,4.85,True,Com Promocao,08:30,8,Manha,False,True
118,2025-04-18,33,CLI5634,3,2,20.89,20.89,10.44,True,Com Promocao,11:45,11,Manha,False,True
119,2025-03-02,26,CLI2281,2,5,42.4,42.4,8.48,True,Com Promocao,11:00,11,Manha,False,True
120,2025-05-11,3,CLI3806,3,4,44.93,44.93,11.23,True,Com Promocao,18:00,18,Noite,False,True
121,2025-04-14,32,CLI2946,3,3,31.65,31.65,10.55,True,Com Promocao,08:00,8,Manha,False,True
122,2025-04-04,2,CLI4995,3,4,22.51,22.51,5.63,True,Com Promocao,22:15,22,Noite,False,True
123,2025-07-26,6,CLI8376,1,4,47.46,47.46,11.86,True,Com Promocao,16:15,16,Tarde,False,True
124,2025-06-06,20,CLI2249,3,2,17.73,17.73,8.86,True,Com Promocao,09:00,9,Manha,False,True
125,2025-06-14,32,CLI9172,1,1,5.03,5.03,5.03,True,Com Promocao,08:30,8,Manha,False,True
126,2025-08-09,35,CLI5082,3,3,26.19,26.19,8.73,True,Com Promocao,21:30,21,Noite,False,True
127,2025-07-13,17,CLI9406,3,3,31.28,31.28,10.43,True,Com Promocao,22:00,22,Noite,False,True
128,2025-03-11,4,CLI8837,3,3,20.34,20.34,6.78,True,Com Promocao,17:15,17,Tarde,False,True
129,2025-04-18,1,CLI1556,2,5,46.15,46.15,9.23,True,Com Promocao,09:00,9,Manha,False,True
130,2025-07-31,2,CLI8829,3,4,47.22,47.22,11.8,True,Com Promocao,14:45,14,Tarde,False,True
131,2025-04-02,13,CLI3395,1,1,7.96,7.96,7.96,False,Sem Promocao,20:30,20,Noite,False,True
132,2025-03-28,16,CLI7822,2,5,37.93,37.93,7.59,True,Com Promocao,20:00,20,Noite,False,True
133,2025-08-18,34,CLI2451,1,5,28.45,28.45,5.69,False,Sem Promocao,11:45,11,Manha,False,True
134,2025-07-14,24,CLI5487,1,1,14.27,14.27,14.27,False,Sem Promocao,14:45,14,Tarde,False,True
135,2025-03-09,7,CLI4462,1,3,27.11,27.11,9.04,True,Com Promocao,09:00,9,Manha,False,True
136,2025-04-17,22,CLI9633,1,2,25.22,25.22,12.61,False,Sem Promocao,21:00,21,Noite,False,True
137,2025-04-29,10,CLI5962,1,4,59.24,59.24,14.81,False,Sem Promocao,08:15,8,Manha,False,True
138,2025-04-15,21,CLI9606,1,3,35.19,35.19,11.73,False,Sem Promocao,20:00,20,Noite,False,True
139,2025-08-15,21,CLI7288,1,4,29.16,29.16,7.29,False,Sem Promocao,11:30,11,Manha,False,True
140,2025-03-02,39,CLI1881,1,4,18.55,18.55,4.64,True,Com Promocao,17:30,17,Tarde,False,True
141,2025-03-04,11,CLI3949,3,4,20.08,20.08,5.02,True,Com Promocao,12:45,12,Tarde,False,True
142,2025-05-01,27,CLI5675,3,2,18.38,18.38,9.19,True,Com Promocao,08:00,8,Manha,False,True
143,2025-04-08,15,CLI3441,1,5,71.0,71.0,14.2,False,Sem Promocao,20:30,20,Noite,False,True
144,2025-07-21,28,CLI6469,1,4,29.12,29.12,7.28,False,Sem Promocao,16:30,16,Tarde,False,True
146,2025-04-25,27,CLI6518,2,1,10.11,10.11,10.11,True,Com Promocao,20:30,20,Noite,False,True
147,2025-06-04,27,CLI2053,3,4,56.0,56.0,14.0,False,Sem Promocao,11:45,11,Manha,False,True
148,2025-03-13,32,CLI1345,1,2,11.72,11.72,5.86,True,Com Promocao,17:45,17,Tarde,False,True
149,2025-06-09,5,CLI4647,2,1,5.49,5.49,5.49,False,Sem Promocao,10:00,10,Manha,False,True
150,2025-04-17,34,CLI6645,2,3,22.6,22.6,7.53,True,Com Promocao,18:15,18,Noite,False,True
151,2025-04-03,28,CLI9519,3,3,34.92,34.92,11.64,False,Sem Promocao,18:30,18,Noite,False,True
152,2025-05-06,25,CLI4732,1,1,6.92,6.92,6.92,False,Sem Promocao,10:45,10,Manha,False,True
153,2025-06-19,28,CLI7690,1,4,42.8,42.8,10.7,False,Sem Promocao,11:45,11,Manha,False,True
154,2025-04-25,19,CLI9288,2,4,48.42,48.42,12.1,True,Com Promocao,14:45,14,Tarde,False,True
155,2025-08-12,6,CLI8211,1,5,68.55,68.55,13.71,False,Sem Promocao,12:00,12,Tarde,False,True
156,2025-06-07,28,CLI6420,3,4,51.32,51.32,12.83,False,Sem Promocao,17:00,17,Tarde,False,True
157,2025-04-01,22,CLI2663,3,2,15.31,15.31,7.66,True,Com Promocao,09:00,9,Manha,False,True
158,2025-04-24,3,CLI8530,3,2,19.84,19.84,9.92,False,Sem Promocao,17:00,17,Tarde,False,True
159,2025-04-16,18,CLI2032,3,1,9.62,9.62,9.62,True,Com Promocao,17:15,17,Tarde,False,True
160,2025-07-28,33,CLI8387,3,5,46.6,46.6,9.32,True,Com Promocao,17:00,17,Tarde,False,True
161,2025-02-27,4,CLI2510,3,3,38.7,38.7,12.9,False,Sem Promocao,15:15,15,Tarde,False,True
163,2025-08-20,29,CLI5004,3,1,14.14,14.14,14.14,False,Sem Promocao,08:45,8,Manha,False,True
164,2025-07-09,30,CLI1528,2,4,28.0,28.0,7.0,False,Sem Promocao,15:30,15,Tarde,False,True
165,2025-02-21,9,CLI7807,2,5,34.4,34.4,6.88,False,Sem Promocao,08:15,8,Manha,False,True
166,2025-08-07,29,CLI1751,3,5,48.97,48.97,9.79,True,Com Promocao,21:15,21,Noite,False,True
167,2025-07-14,19,CLI4466,1,4,46.56,46.56,11.64,True,Com Promocao,19:15,19,Noite,False,True
168,2025-07-11,31,CLI7396,2,4,32.96,32.96,8.24,False,Sem Promocao,21:15,21,Noite,False,True
169,2025-02-24,4,CLI2842,3,3,41.92,41.92,13.97,True,Com Promocao,12:00,12,Tarde,False,True
170,2025-02-26,36,CLI4026,3,5,43.96,43.96,8.79,True,Com Promocao,11:00,11,Manha,False,True
171,2025-07-31,5,CLI7434,3,4,52.8,52.8,13.2,False,Sem Promocao,19:45,19,Noite,False,True
172,2025-03-12,5,CLI1065,2,2,16.92,16.92,8.46,True,Com Promocao,22:30,22,Noite,False,True
173,2025-02-25,15,CLI1826,3,5,28.01,28.01,5.6,True,Com Promocao,09:15,9,Manha,False,True
174,2025-03-07,9,CLI5608,1,4,34.88,34.88,8.72,False,Sem Promocao,13:15,13,Tarde,False,True
175,2025-06-22,6,CLI7455,1,4,41.53,41.53,10.38,True,Com Promocao,22:15,22,Noite,False,True
176,2025-02-26,36,CLI4024,1,4,39.16,39.16,9.79,False,Sem Promocao,13:00,13,Tarde,False,True
177,2025-04-16,6,CLI9139,2,4,58.84,58.84,14.71,False,Sem Promocao,19:45,19,Noite,False,True
178,2025-05-06,20,CLI9584,2,4,51.04,51.04,12.76,False,Sem Promocao,10:45,10,Manha,False,True
179,2025-05-15,13,CLI6294,3,6,72.84,72.84,12.14,True,Com Promocao,10:45,10,Manha,False,True
180,2025-07-18,39,CLI3219,1,1,7.78,7.78,7.78,False,Sem Promocao,08:45,8,Manha,False,True
181,2025-07-31,18,CLI4720,3,2,25.34,25.34,12.67,False,Sem Promocao,12:45,12,Tarde,False,True
182,2025-05-31,40,CLI8385,2,4,44.03,44.03,11.01,True,Com Promocao,08:30,8,Manha,False,True
183,2025-08-02,30,CLI6901,2,4,32.36,32.36,8.09,False,Sem Promocao,09:30,9,Manha,False,True
184,2025-06-09,35,CLI4418,2,5,32.55,32.55,6.51,True,Com Promocao,20:15,20,Noite,False,True
185,2025-08-02,35,CLI9820,2,4,40.12,40.12,10.03,True,Com Promocao,08:00,8,Manha,False,True
186,2025-06-12,15,CLI2497,2,3,15.0,15.0,5.0,True,Com Promocao,11:30,11,Manha,False,True
187,2025-03-03,35,CLI2848,2,1,9.12,9.12,9.12,True,Com Promocao,10:30,10,Manha,False,True
188,2025-03-05,21,CLI4948,1,1,6.08,6.08,6.08,False,Sem Promocao,18:15,18,Noite,False,True
189,2025-04-04,3,CLI8436,3,1,10.83,10.83,10.83,True,Com Promocao,12:30,12,Tarde,False,True
190,2025-04-04,1,CLI6959,2,4,23.88,23.88,5.97,False,Sem Promocao,17:30,17,Tarde,False,True
191,2025-04-25,20,CLI1582,1,1,10.48,10.48,10.48,False,Sem Promocao,20:00,20,Noite,False,True
192,2025-08-03,6,CLI4731,3,2,16.06,16.06,8.03,False,Sem Promocao,18:30,18,Noite,False,True
193,2025-04-17,29,CLI3645,2,1,6.52,6.52,6.52,True,Com Promocao,18:30,18,Noite,False,True
194,2025-02-25,3,CLI3666,2,5,38.35,38.35,7.67,False,Sem Promocao,09:30,9,Manha,False,True
195,2025-07-11,13,CLI8816,3,3,29.33,29.33,9.78,True,Com Promocao,09:45,9,Manha,False,True
196,2025-05-19,3,CLI4932,1,2,16.57,16.57,8.28,True,Com Promocao,16:30,16,Tarde,False,True
198,2025-08-13,17,CLI7555,2,5,47.47,47.47,9.49,True,Com Promocao,15:00,15,Tarde,False,True
199,2025-07-17,12,CLI8057,1,5,38.3,38.3,7.66,False,Sem Promocao,15:15,15,Tarde,False,True
200,2025-05-14,10,CLI7886,1,4,49.4,49.4,12.35,True,Com Promocao,20:45,20,Noite,False,True
201,2025-03-03,2,CLI7100,3,5,44.26,44.26,8.85,True,Com Promocao,18:15,18,Noite,False,True
202,2025-03-09,16,CLI6242,3,3,23.35,23.35,7.78,True,Com Promocao,14:45,14,Tarde,False,True
203,2025-02-27,15,CLI9577,3,2,18.31,18.31,9.15,True,Com Promocao,09:15,9,Manha,False,True
204,2025-05-24,6,CLI5942,2,5,67.96,67.96,13.59,True,Com Promocao,17:15,17,Tarde,False,True
205,2025-03-25,38,CLI1100,3,2,19.82,19.82,9.91,True,Com Promocao,11:15,11,Manha,False,True
206,2025-06-02,21,CLI8389,1,2,15.59,15.59,7.8,True,Com Promocao,20:15,20,Noite,False,True
207,2025-06-20,16,CLI7119,1,4,19.93,19.93,4.98,True,Com Promocao,21:00,21,Noite,False,True
208,2025-04-03,15,CLI4379,3,1,11.22,11.22,11.22,False,Sem Promocao,09:00,9,Manha,False,True
209,2025-06-16,37,CLI9378,3,4,30.04,30.04,7.51,False,Sem Promocao,12:15,12,Tarde,False,True
210,2025-03-26,20,CLI2003,3,3,44.88,44.88,14.96,False,Sem Promocao,22:30,22,Noite,False,True
211,2025-06-10,5,CLI7334,1,5,32.5,32.5,6.5,False,Sem Promocao,20:45,20,Noite,False,True
212,2025-07-19,17,CLI5287,3,5,38.15,38.15,7.63,False,Sem Promocao,13:30,13,Tarde,False,True
213,2025-07-23,13,CLI1080,2,4,40.12,40.12,10.03,False,Sem Promocao,12:45,12,Tarde,False,True
214,2025-08-20,40,CLI9306,2,1,4.46,4.46,4.46,True,Com Promocao,12:30,12,Tarde,False,True
215,2025-06-16,12,CLI5613,3,4,35.56,35.56,8.89,False,Sem Promocao,11:30,11,Manha,False,True
216,2025-08-05,26,CLI4443,1,2,9.23,9.23,4.62,True,Com Promocao,08:45,8,Manha,False,True
217,2025-05-16,21,CLI2620,2,5,46.85,46.85,9.37,False,Sem Promocao,19:15,19,Noite,False,True
218,2025-04-30,17,CLI5738,2,1,8.57,8.57,8.57,False,Sem Promocao,09:00,9,Manha,False,True
219,2025-06-03,5,CLI4601,1,5,60.8,60.8,12.16,False,Sem Promocao,22:45,22,Noite,False,True
220,2025-05-29,3,CLI8074,3,1,11.61,11.61,11.61,True,Com Promocao,22:00,22,Noite,False,True
221,2025-08-10,6,CLI5848,2,4,31.6,31.6,7.9,False,Sem Promocao,19:45,19,Noite,False,True
223,2025-05-29,10,CLI5517,1,6,34.8,34.8,5.8,False,Sem Promocao,08:00,8,Manha,False,True
224,2025-04-30,1,CLI1056,2,5,40.7,40.7,8.14,False,Sem Promocao,18:30,18,Noite,False,True
225,2025-04-07,38,CLI4170,1,4,57.08,57.08,14.27,False,Sem Promocao,14:15,14,Tarde,False,True
226,2025-08-02,16,CLI6100,2,3,32.22,32.22,10.74,False,Sem Promocao,20:45,20,Noite,False,True
227,2025-07-27,21,CLI9217,3,5,73.05,73.05,14.61,False,Sem Promocao,17:45,17,Tarde,False,True
228,2025-05-24,13,CLI5773,2,4,33.18,33.18,8.3,True,Com Promocao,08:30,8,Manha,False,True
229,2025-05-17,30,CLI9254,3,1,11.06,11.06,11.06,False,Sem Promocao,16:15,16,Tarde,False,True
230,2025-07-03,32,CLI2704,2,5,51.6,51.6,10.32,False,Sem Promocao,15:15,15,Tarde,False,True
231,2025-03-23,33,CLI1402,1,4,56.84,56.84,14.21,False,Sem Promocao,20:45,20,Noite,False,True
232,2025-06-07,10,CLI3018,3,2,24.8,24.8,12.4,False,Sem Promocao,08:00,8,Manha,False,True
233,2025-04-10,37,CLI2200,3,4,31.28,31.28,7.82,True,Com Promocao,17:15,17,Tarde,False,True
234,2025-03-20,13,CLI9829,1,2,22.64,22.64,11.32,True,Com Promocao,12:00,12,Tarde,False,True
235,2025-04-04,37,CLI9718,1,1,11.42,11.42,11.42,False,Sem Promocao,15:30,15,Tarde,False,True
236,2025-05-10,35,CLI5694,3,4,26.75,26.75,6.69,True,Com Promocao,12:45,12,Tarde,False,True
237,2025-05-09,22,CLI7124,1,4,27.35,27.35,6.84,True,Com Promocao,09:30,9,Manha,False,True
238,2025-08-18,10,CLI4159,2,4,31.36,31.36,7.84,True,Com Promocao,20:00,20,Noite,False,True
239,2025-04-29,5,CLI5014,1,5,33.0,33.0,6.6,True,Com Promocao,20:30,20,Noite,False,True
240,2025-03-29,27,CLI8498,1,4,43.44,43.44,10.86,False,Sem Promocao,13:30,13,Tarde,False,True
241,2025-04-08,18,CLI8081,3,3,23.4,23.4,7.8,False,Sem Promocao,21:45,21,Noite,False,True
242,2025-06-17,28,CLI3812,2,4,55.72,55.72,13.93,False,Sem Promocao,08:00,8,Manha,False,True
243,2025-06-24,28,CLI2017,2,5,53.26,53.26,10.65,True,Com Promocao,12:30,12,Tarde,False,True
244,2025-04-12,32,CLI3325,3,1,14.13,14.13,14.13,False,Sem Promocao,20:45,20,Noite,False,True
245,2025-05-18,25,CLI8646,2,5,44.71,44.71,8.94,True,Com Promocao,14:15,14,Tarde,False,True
246,2025-08-16,26,CLI4706,3,5,33.3,33.3,6.66,False,Sem Promocao,11:15,11,Manha,False,True
247,2025-07-22,30,CLI6248,3,5,39.44,39.44,7.89,True,Com Promocao,19:30,19,Noite,False,True
248,2025-06-02,23,CLI7135,3,5,73.45,73.45,14.69,False,Sem Promocao,16:15,16,Tarde,False,True
249,2025-04-11,35,CLI8210,3,3,14.17,14.17,4.72,True,Com Promocao,12:00,12,Tarde,False,True
250,2025-04-19,40,CLI7692,3,1,13.51,13.51,13.51,True,Com Promocao,12:00,12,Tarde,False,True
