id_cliente,cliente_recorrente,quantidade_transacoes_cliente,faixa_frequencia_cliente,segmento_valor_cliente,primeira_data_compra,ultima_data_compra,dias_entre_primeira_ultima_compra,receita_total_cliente,volume_total_cliente,ticket_medio_cliente,cidade_principal,estado_principal,canal_preferencial,categoria_preferencial
CLI1011,True,5,4 a 6 compras,Medio valor,2025-02-25,2025-07-07,132,143.86,19,28.77,Campinas,RO,Loja Física,Milkshake
CLI1012,True,7,7 a 10 compras,Alto valor,2025-03-01,2025-07-10,131,194.88,24,27.84,Azevedo Verde,AP,App,Casquinha
CLI1013,True,6,4 a 6 compras,Alto valor,2025-04-04,2025-07-22,109,195.26999999999998,22,32.54,Barbosa,SE,App,Picolé
CLI1014,True,6,4 a 6 compras,Medio valor,2025-02-25,2025-07-24,149,151.3,17,25.22,Da Cunha Do Oeste,AC,Loja Física,Pote
CLI1015,True,3,2 a 3 compras,Baixo valor,2025-03-04,2025-07-29,147,33.08,4,11.03,Camargo,CE,Loja Física,Milkshake
CLI1016,True,3,2 a 3 compras,Baixo valor,2025-03-21,2025-07-22,123,112.41,10,37.47,Cirino,AP,Loja Física,Sundae
CLI1017,True,3,2 a 3 compras,Baixo valor,2025-03-02,2025-08-03,154,73.99000000000001,8,24.66,Alves Da Serra,GO,App,Casquinha
CLI1018,True,6,4 a 6 compras,Medio valor,2025-03-04,2025-08-24,173,171.07999999999998,17,28.51,Alves Do Oeste,RN,Parceiro,Casquinha
CLI1019,True,6,4 a 6 compras,Medio valor,2025-03-11,2025-08-06,148,144.57,16,24.1,Barbosa,AC,Loja Física,Picolé
CLI1020,True,8,7 a 10 compras,Alto valor,2025-03-02,2025-08-16,167,198.86,23,24.86,Borges De Mendonça,AL,App,Pote
CLI1021,True,6,4 a 6 compras,Alto valor,2025-04-27,2025-08-14,109,229.14,19,38.19,Abreu,PA,Loja Física,Casquinha
CLI1022,True,3,2 a 3 compras,Baixo valor,2025-03-17,2025-08-10,146,89.79,9,29.93,Cirino Da Mata,MG,Parceiro,Sundae
CLI1023,True,4,4 a 6 compras,Baixo valor,2025-03-03,2025-08-19,169,107.38,14,26.84,Almeida,CE,App,Pote
CLI1024,True,3,2 a 3 compras,Baixo valor,2025-03-21,2025-07-30,131,103.24,15,34.41,Campinas,RN,Loja Física,Milkshake
CLI1025,True,4,4 a 6 compras,Medio valor,2025-03-10,2025-08-21,164,116.28999999999999,15,29.07,Costela,GO,App,Casquinha
CLI1026,True,3,2 a 3 compras,Baixo valor,2025-03-28,2025-07-15,109,58.730000000000004,6,19.58,Costela,CE,Parceiro,Casquinha
CLI1027,True,11,Mais de 10 compras,Alto valor,2025-03-01,2025-08-18,170,345.87,35,31.44,Abreu Alegre,MG,Parceiro,Sundae
CLI1028,True,6,4 a 6 compras,Medio valor,2025-02-23,2025-08-13,171,134.96,15,22.49,Abreu,AC,App,Milkshake
CLI1029,True,7,7 a 10 compras,Alto valor,2025-03-13,2025-06-17,96,265.46999999999997,24,37.92,Caldeira De Martins,AC,App,Milkshake
CLI1030,True,5,4 a 6 compras,Medio valor,2025-03-05,2025-06-13,100,129.31,14,25.86,Aparecida Do Campo,DF,App,Milkshake
CLI1031,True,3,2 a 3 compras,Baixo valor,2025-04-06,2025-07-11,96,45.5,5,15.17,Alves De Minas,AC,Parceiro,Sundae
CLI1032,True,6,4 a 6 compras,Medio valor,2025-02-20,2025-08-19,180,139.37,13,23.23,Almeida,CE,App,Milkshake
CLI1033,True,7,7 a 10 compras,Alto valor,2025-03-22,2025-08-17,148,222.69,25,31.81,Costa De Borges,AL,Loja Física,Casquinha
CLI1034,True,9,7 a 10 compras,Alto valor,2025-03-07,2025-07-26,141,190.95,25,21.22,Borges De Brito,AP,Parceiro,Milkshake
CLI1035,True,7,7 a 10 compras,Medio valor,2025-03-13,2025-08-05,145,148.87,15,21.27,Das Neves De Andrade,BA,App,Pote
CLI1036,True,7,7 a 10 compras,Medio valor,2025-03-26,2025-06-13,79,160.18,21,22.88,Abreu Grande,AC,Loja Física,Milkshake
CLI1037,True,2,2 a 3 compras,Baixo valor,2025-05-09,2025-06-22,44,59.51,7,29.76,Nogueira,MA,App,Casquinha
CLI1038,False,1,1 compra,Baixo valor,2025-04-28,2025-04-28,0,34.35,3,34.35,Azevedo Do Amparo,MG,Parceiro,Pote
CLI1039,True,12,Mais de 10 compras,Alto valor,2025-03-02,2025-07-31,151,316.45,34,26.37,Andrade,SP,Loja Física,Sundae
CLI1040,True,5,4 a 6 compras,Medio valor,2025-05-12,2025-08-01,81,163.77,18,32.75,Campinas,AL,Loja Física,Sundae
CLI1041,True,5,4 a 6 compras,Medio valor,2025-03-22,2025-08-06,137,120.58,13,24.12,Almeida,AM,Loja Física,Milkshake
CLI1042,True,7,7 a 10 compras,Alto valor,2025-03-12,2025-08-15,156,192.07,21,27.44,Castro Do Galho,AC,App,Picolé
CLI1043,True,4,4 a 6 compras,Medio valor,2025-03-11,2025-08-14,156,149.5,12,37.38,Albuquerque,MA,App,Sundae
CLI1044,True,4,4 a 6 compras,Medio valor,2025-03-29,2025-08-03,127,117.74000000000001,17,29.44,Marques,BA,Loja Física,Sundae
CLI1045,True,2,2 a 3 compras,Baixo valor,2025-07-13,2025-07-20,7,32.64,5,16.32,Castro Verde,PE,App,Milkshake
CLI1046,True,5,4 a 6 compras,Medio valor,2025-04-09,2025-06-26,78,121.46000000000001,19,24.29,Campinas,AP,Loja Física,Milkshake
CLI1047,True,6,4 a 6 compras,Medio valor,2025-02-21,2025-08-07,167,139.19,13,23.2,Das Neves Dos Dourados,AL,Loja Física,Milkshake
CLI1048,True,2,2 a 3 compras,Baixo valor,2025-05-13,2025-06-13,31,39.07,4,19.54,Castro Da Prata,BA,App,Milkshake
CLI1049,True,3,2 a 3 compras,Baixo valor,2025-02-25,2025-06-20,115,81.21000000000001,8,27.07,Aragão Do Galho,RJ,Parceiro,Milkshake
CLI1050,True,2,2 a 3 compras,Baixo valor,2025-02-21,2025-04-28,66,42.58,8,21.29,Correia,RS,Parceiro,Milkshake
CLI1051,True,4,4 a 6 compras,Baixo valor,2025-03-04,2025-08-13,162,92.61999999999999,10,23.15,Duarte Do Campo,AP,Parceiro,Sundae
CLI1052,True,10,7 a 10 compras,Alto valor,2025-02-21,2025-08-21,181,425.57,44,42.56,Aragão,MG,Parceiro,Milkshake
CLI1053,True,8,7 a 10 compras,Medio valor,2025-03-28,2025-08-11,136,149.22,19,18.65,Albuquerque,AM,Loja Física,Casquinha
CLI1054,True,7,7 a 10 compras,Alto valor,2025-04-16,2025-06-17,62,314.71000000000004,29,44.96,Caldeira Verde,AL,Loja Física,Milkshake
CLI1055,True,5,4 a 6 compras,Baixo valor,2025-02-21,2025-08-07,167,74.00999999999999,10,14.8,Cassiano Da Praia,AL,App,Sundae
CLI1056,False,1,1 compra,Baixo valor,2025-04-30,2025-04-30,0,40.7,5,40.7,Rocha,PB,Loja Física,Casquinha
CLI1057,True,3,2 a 3 compras,Baixo valor,2025-03-17,2025-06-13,88,63.17,11,21.06,Ferreira,MS,Parceiro,Casquinha
CLI1058,True,2,2 a 3 compras,Baixo valor,2025-04-08,2025-08-02,116,90.91999999999999,7,45.46,Da Mata Grande,BA,App,Casquinha
CLI1059,True,5,4 a 6 compras,Medio valor,2025-04-22,2025-08-21,121,162.09,14,32.42,Aparecida Das Pedras,RS,App,Picolé
CLI1060,True,3,2 a 3 compras,Baixo valor,2025-04-04,2025-05-14,40,44.510000000000005,5,14.84,Alves De Da Conceição,AC,App,Picolé
CLI1061,True,4,4 a 6 compras,Medio valor,2025-03-22,2025-08-14,145,163.31,17,40.83,Araújo,AL,Parceiro,Milkshake
CLI1062,True,5,4 a 6 compras,Medio valor,2025-03-30,2025-08-09,132,156.85,19,31.37,Aragão,RR,App,Picolé
CLI1063,True,12,Mais de 10 compras,Alto valor,2025-04-09,2025-08-10,123,359.15999999999997,34,29.93,Campinas,BA,Loja Física,Milkshake
CLI1064,True,5,4 a 6 compras,Baixo valor,2025-04-11,2025-08-17,128,99.5,15,19.9,Lima,RN,Loja Física,Casquinha
CLI1065,True,7,7 a 10 compras,Alto valor,2025-03-12,2025-08-03,144,271.09,23,38.73,Caldeira,SP,App,Milkshake
CLI1066,True,3,2 a 3 compras,Baixo valor,2025-03-06,2025-06-01,87,66.92,6,22.31,Costa Do Campo,PB,App,Casquinha
CLI1067,True,4,4 a 6 compras,Medio valor,2025-02-24,2025-07-16,142,149.2,12,37.3,Barbosa,DF,Parceiro,Sundae
CLI1068,True,6,4 a 6 compras,Alto valor,2025-02-21,2025-09-05,196,193.66000000000003,18,32.28,Camargo,MT,Loja Física,Picolé
CLI1069,True,5,4 a 6 compras,Baixo valor,2025-04-20,2025-08-28,130,111.19,13,22.24,Brito De Montenegro,AP,Loja Física,Milkshake
CLI1070,True,9,7 a 10 compras,Alto valor,2025-02-27,2025-07-24,147,277.27,31,30.81,Cardoso,RN,App,Pote
CLI1071,True,3,2 a 3 compras,Medio valor,2025-03-02,2025-08-14,165,117.33,11,39.11,Barros Do Amparo,CE,App,Picolé
CLI1072,True,8,7 a 10 compras,Alto valor,2025-04-11,2025-08-05,116,214.93,25,26.87,Aragão,TO,Parceiro,Casquinha
CLI1073,True,9,7 a 10 compras,Alto valor,2025-03-10,2025-08-10,153,228.85,29,25.43,Souza,BA,App,Picolé
CLI1074,True,6,4 a 6 compras,Medio valor,2025-03-04,2025-08-05,154,132.56,17,22.09,Aparecida Grande,AC,App,Pote
CLI1075,True,8,7 a 10 compras,Alto valor,2025-03-03,2025-08-09,159,267.88,26,33.48,Almeida,MA,Loja Física,Milkshake
CLI1076,True,7,7 a 10 compras,Baixo valor,2025-02-22,2025-08-20,179,90.83,14,12.98,Castro Da Serra,PA,Loja Física,Casquinha
CLI1077,True,8,7 a 10 compras,Medio valor,2025-04-08,2025-08-01,115,174.29,19,21.79,Araújo De Goiás,AC,App,Milkshake
CLI1078,True,5,4 a 6 compras,Baixo valor,2025-03-06,2025-08-12,159,106.62,10,21.32,Albuquerque De Minas,MA,Loja Física,Casquinha
CLI1079,True,4,4 a 6 compras,Baixo valor,2025-03-01,2025-08-10,162,82.87,9,20.72,Camargo,AL,Parceiro,Milkshake
CLI1080,True,7,7 a 10 compras,Alto valor,2025-02-22,2025-07-28,156,179.07,18,25.58,Azevedo Da Praia,MS,Loja Física,Picolé
CLI1081,True,7,7 a 10 compras,Alto valor,2025-03-01,2025-07-27,148,274.23,26,39.18,Barbosa,AC,Loja Física,Picolé
CLI1082,True,5,4 a 6 compras,Alto valor,2025-05-17,2025-06-18,32,177.41,17,35.48,Camargo Do Sul,ES,App,Milkshake
CLI1083,True,2,2 a 3 compras,Baixo valor,2025-04-03,2025-06-12,70,21.46,4,10.73,Pastor,GO,App,Milkshake
CLI1084,True,4,4 a 6 compras,Medio valor,2025-03-02,2025-08-04,155,137.09,14,34.27,Campinas,RJ,Parceiro,Casquinha
CLI1085,True,4,4 a 6 compras,Alto valor,2025-03-22,2025-05-16,55,177.82,17,44.46,Campinas,AC,Parceiro,Casquinha
CLI1086,True,2,2 a 3 compras,Baixo valor,2025-03-29,2025-07-04,97,33.54,4,16.77,Da Cruz,AC,App,Sundae
CLI1087,True,3,2 a 3 compras,Baixo valor,2025-03-17,2025-06-13,88,64.77,8,21.59,Campinas,MS,App,Milkshake
CLI1088,True,4,4 a 6 compras,Medio valor,2025-03-16,2025-08-29,166,132.63,16,33.16,Azevedo Verde,RJ,App,Casquinha
CLI1089,True,5,4 a 6 compras,Medio valor,2025-02-20,2025-07-28,158,130.42000000000002,14,26.08,Cavalcante,PE,Loja Física,Casquinha
CLI1090,True,10,7 a 10 compras,Alto valor,2025-03-30,2025-07-31,123,266.37,30,26.64,Alves,ES,Loja Física,Casquinha
CLI1091,True,8,7 a 10 compras,Alto valor,2025-04-09,2025-08-20,133,269.02,28,33.63,Costa De Freitas,AM,Parceiro,Pote
CLI1092,True,4,4 a 6 compras,Baixo valor,2025-05-05,2025-07-14,70,64.76,10,16.19,Campinas,DF,App,Pote
CLI1093,True,3,2 a 3 compras,Baixo valor,2025-03-16,2025-07-17,123,51.98,7,17.33,Brito Paulista,AM,Parceiro,Casquinha
CLI1094,True,8,7 a 10 compras,Alto valor,2025-03-09,2025-07-16,129,184.41,23,23.05,Cassiano Do Galho,RN,Loja Física,Pote
CLI1095,False,1,1 compra,Baixo valor,2025-08-19,2025-08-19,0,49.5,5,49.5,Jesus De Minas,SP,App,Picolé
CLI1096,False,1,1 compra,Baixo valor,2025-03-23,2025-03-23,0,14.58,1,14.58,Cavalcante,RJ,Parceiro,Casquinha
CLI1097,True,5,4 a 6 compras,Alto valor,2025-03-06,2025-04-27,52,225.43,22,45.09,Carvalho Da Prata,DF,Loja Física,Casquinha
CLI1098,True,8,7 a 10 compras,Alto valor,2025-03-31,2025-06-30,91,271.76,25,33.97,Abreu De Sá,MT,Parceiro,Sundae
CLI1099,True,4,4 a 6 compras,Baixo valor,2025-04-15,2025-08-02,109,95.91,11,23.98,Moura De Teixeira,AL,App,Casquinha
CLI1100,True,7,7 a 10 compras,Alto valor,2025-03-25,2025-09-10,169,214.19,19,30.6,Casa Grande Das Flores,PB,Loja Física,Picolé
CLI1101,True,8,7 a 10 compras,Alto valor,2025-02-20,2025-07-25,155,215.74,24,26.97,Aragão,ES,Parceiro,Pote
CLI1102,True,4,4 a 6 compras,Baixo valor,2025-04-22,2025-06-27,66,64.84,9,16.21,Cavalcante,AC,Parceiro,Casquinha
CLI1103,True,4,4 a 6 compras,Medio valor,2025-03-28,2025-08-14,139,147.46,14,36.86,Campinas,ES,App,Casquinha
CLI1104,True,3,2 a 3 compras,Baixo valor,2025-03-01,2025-06-14,105,89.59,8,29.86,Andrade Das Flores,RS,App,Picolé
CLI1105,True,7,7 a 10 compras,Alto valor,2025-03-22,2025-07-17,117,208.12,23,29.73,Caldeira,MA,App,Casquinha
CLI1106,True,3,2 a 3 compras,Baixo valor,2025-04-27,2025-08-16,111,57.849999999999994,8,19.28,Barbosa,AL,Loja Física,Casquinha
CLI1107,True,5,4 a 6 compras,Medio valor,2025-03-08,2025-08-14,159,119.77,12,23.95,Cardoso,AL,Parceiro,Casquinha
CLI1108,True,9,7 a 10 compras,Alto valor,2025-02-23,2025-08-07,165,251.49,30,27.94,Campinas,MG,Loja Física,Sundae
CLI1109,True,8,7 a 10 compras,Baixo valor,2025-03-14,2025-07-29,137,111.56,14,13.94,Sales,SC,Loja Física,Milkshake
CLI1110,True,4,4 a 6 compras,Medio valor,2025-03-13,2025-08-09,149,138.9,16,34.72,Albuquerque,CE,Loja Física,Pote
CLI1111,True,3,2 a 3 compras,Baixo valor,2025-03-11,2025-08-19,161,78.5,12,26.17,Cassiano Do Galho,AP,App,Pote
CLI1112,True,6,4 a 6 compras,Medio valor,2025-03-16,2025-07-26,132,153.18,16,25.53,Borges Da Serra,CE,App,Sundae
CLI1113,True,4,4 a 6 compras,Medio valor,2025-04-07,2025-07-11,95,131.08,15,32.77,Borges De Jesus,RS,Loja Física,Pote
CLI1114,True,2,2 a 3 compras,Baixo valor,2025-07-26,2025-07-26,0,71.59,8,35.8,Fonseca,AP,Parceiro,Milkshake
CLI1115,True,3,2 a 3 compras,Baixo valor,2025-03-11,2025-08-07,149,70.75999999999999,8,23.59,Da Conceição Da Prata,AM,App,Milkshake
CLI1116,True,4,4 a 6 compras,Medio valor,2025-03-29,2025-07-15,108,129.38,18,32.34,Albuquerque,PB,Loja Física,Casquinha
CLI1117,True,12,Mais de 10 compras,Alto valor,2025-03-04,2025-08-16,165,247.82000000000002,27,20.65,Albuquerque,MG,App,Picolé
CLI1118,True,6,4 a 6 compras,Alto valor,2025-04-14,2025-08-02,110,242.54000000000002,22,40.42,Sá,AL,Loja Física,Milkshake
CLI1119,True,3,2 a 3 compras,Baixo valor,2025-03-24,2025-06-22,90,88.16,12,29.39,Andrade,MG,Parceiro,Milkshake
CLI1120,True,8,7 a 10 compras,Alto valor,2025-03-27,2025-08-07,133,264.82,26,33.1,Campinas,AL,Parceiro,Pote
CLI1121,True,5,4 a 6 compras,Medio valor,2025-03-22,2025-08-10,141,148.76,16,29.75,Aparecida,PB,App,Milkshake
CLI1122,False,1,1 compra,Baixo valor,2025-03-16,2025-03-16,0,5.23,1,5.23,Gomes Do Sul,AL,Parceiro,Picolé
CLI1123,True,5,4 a 6 compras,Medio valor,2025-03-31,2025-09-11,164,123.19999999999999,14,24.64,Barros,AM,App,Casquinha
CLI1124,True,7,7 a 10 compras,Medio valor,2025-02-28,2025-08-08,161,133.94,19,19.13,Campinas,AC,Parceiro,Casquinha
CLI1125,True,11,Mais de 10 compras,Alto valor,2025-05-07,2025-08-16,101,274.06,33,24.91,Leão,AM,App,Casquinha
CLI1126,False,1,1 compra,Baixo valor,2025-05-19,2025-05-19,0,5.26,1,5.26,Cassiano,AL,Parceiro,Milkshake
CLI1127,True,8,7 a 10 compras,Alto valor,2025-03-25,2025-08-09,137,249.84,26,31.23,Barbosa Das Flores,AP,App,Pote
CLI1128,False,1,1 compra,Baixo valor,2025-05-22,2025-05-22,0,12.66,1,12.66,Santos,MG,App,Picolé
CLI1129,True,9,7 a 10 compras,Alto valor,2025-02-22,2025-08-09,168,270.49,29,30.05,Campinas,AM,App,Milkshake
CLI1130,True,7,7 a 10 compras,Alto valor,2025-03-09,2025-07-22,135,185.36,18,26.48,Da Paz Do Galho,MS,Loja Física,Sundae
CLI1131,True,6,4 a 6 compras,Medio valor,2025-02-28,2025-08-02,155,151.95,15,25.32,Abreu De Pires,AM,App,Milkshake
CLI1132,True,5,4 a 6 compras,Medio valor,2025-05-10,2025-08-14,96,116.92,18,23.38,Castro,CE,Parceiro,Casquinha
CLI1133,True,6,4 a 6 compras,Medio valor,2025-03-01,2025-07-19,140,149.56,17,24.93,Abreu Do Amparo,ES,App,Casquinha
CLI1134,True,2,2 a 3 compras,Baixo valor,2025-03-14,2025-08-04,143,67.28,8,33.64,Campinas,AC,Loja Física,Milkshake
CLI1135,True,7,7 a 10 compras,Alto valor,2025-03-05,2025-08-09,157,189.9,24,27.13,Azevedo Alegre,SE,Parceiro,Milkshake
CLI1136,True,8,7 a 10 compras,Alto valor,2025-04-06,2025-08-13,129,253.31,27,31.66,Almeida,PE,Loja Física,Milkshake
CLI1137,True,4,4 a 6 compras,Baixo valor,2025-03-12,2025-08-20,161,105.65,10,26.41,Albuquerque,AC,Loja Física,Casquinha
CLI1138,True,5,4 a 6 compras,Medio valor,2025-03-02,2025-08-02,153,154.46,16,30.89,Abreu De Ramos,BA,Parceiro,Casquinha
CLI1139,True,3,2 a 3 compras,Baixo valor,2025-03-09,2025-07-31,144,43.65,5,14.55,Jesus Dos Dourados,AC,App,Sundae
CLI1140,True,4,4 a 6 compras,Baixo valor,2025-03-21,2025-07-02,103,96.98,12,24.24,Borges Das Flores,PA,Loja Física,Milkshake
CLI1141,True,6,4 a 6 compras,Medio valor,2025-03-18,2025-05-23,66,169.14,19,28.19,Campinas,CE,Loja Física,Milkshake
CLI1142,True,5,4 a 6 compras,Medio valor,2025-03-05,2025-08-15,163,149.60000000000002,17,29.92,Azevedo,SE,Parceiro,Milkshake
CLI1143,True,6,4 a 6 compras,Medio valor,2025-02-23,2025-07-04,131,176.95999999999998,16,29.49,Campos Do Norte,GO,App,Sundae
CLI1144,True,3,2 a 3 compras,Baixo valor,2025-04-03,2025-07-13,101,31.29,5,10.43,Albuquerque,AC,Parceiro,Milkshake
CLI1145,True,7,7 a 10 compras,Alto valor,2025-03-07,2025-07-21,136,179.36,18,25.62,Campinas,BA,App,Casquinha
CLI1146,True,4,4 a 6 compras,Baixo valor,2025-03-28,2025-09-02,158,43.95,6,10.99,Caldeira,MA,App,Casquinha
CLI1147,True,5,4 a 6 compras,Medio valor,2025-03-01,2025-06-28,119,127.19,20,25.44,Barros,AM,Loja Física,Sundae
CLI1148,True,2,2 a 3 compras,Baixo valor,2025-07-02,2025-07-24,22,63.76,6,31.88,Gomes,RJ,Loja Física,Milkshake
CLI1149,True,4,4 a 6 compras,Medio valor,2025-04-17,2025-08-19,124,147.92,14,36.98,Campinas,SC,Loja Física,Milkshake
CLI1150,True,5,4 a 6 compras,Alto valor,2025-04-10,2025-08-05,117,201.09,20,40.22,Alves Do Oeste,AL,App,Milkshake
CLI1151,True,6,4 a 6 compras,Medio valor,2025-03-02,2025-06-30,120,158.15,20,26.36,Camargo,AP,Loja Física,Picolé
CLI1152,True,5,4 a 6 compras,Baixo valor,2025-03-20,2025-07-13,115,85.66,8,17.13,Almeida,BA,Loja Física,Picolé
CLI1153,True,9,7 a 10 compras,Alto valor,2025-03-16,2025-08-14,151,217.72,23,24.19,Almeida,AM,App,Casquinha
CLI1154,True,7,7 a 10 compras,Medio valor,2025-02-28,2025-07-25,147,174.08,19,24.87,Camargo Do Campo,DF,App,Milkshake
CLI1155,True,5,4 a 6 compras,Medio valor,2025-02-23,2025-08-09,167,174.63,18,34.93,Cassiano,CE,App,Picolé
CLI1156,True,4,4 a 6 compras,Baixo valor,2025-03-13,2025-05-24,72,95.61,15,23.9,Azevedo,AP,App,Pote
CLI1157,True,5,4 a 6 compras,Medio valor,2025-04-01,2025-08-02,123,138.44,16,27.69,Caldeira,CE,Parceiro,Casquinha
CLI1158,True,7,7 a 10 compras,Alto valor,2025-02-23,2025-08-08,166,177.83999999999997,23,25.41,Cavalcante Do Galho,RN,App,Sundae
CLI1159,True,3,2 a 3 compras,Baixo valor,2025-04-08,2025-06-09,62,102.87,11,34.29,Aragão Do Campo,ES,Parceiro,Milkshake
CLI1160,True,9,7 a 10 compras,Alto valor,2025-03-19,2025-08-17,151,277.05,30,30.78,Andrade,SP,App,Milkshake
CLI1161,True,5,4 a 6 compras,Medio valor,2025-04-19,2025-06-09,51,129.23,16,25.85,Cirino,AC,Loja Física,Milkshake
CLI1162,True,3,2 a 3 compras,Baixo valor,2025-02-26,2025-04-08,41,88.5,9,29.5,Camargo De Porto,MS,Parceiro,Milkshake
CLI1163,True,4,4 a 6 compras,Medio valor,2025-03-01,2025-08-19,171,149.88,16,37.47,Albuquerque,DF,Parceiro,Casquinha
CLI1164,True,5,4 a 6 compras,Alto valor,2025-03-29,2025-08-03,127,187.1,22,37.42,Camargo De Moreira,AC,Loja Física,Milkshake
CLI1165,True,8,7 a 10 compras,Alto valor,2025-02-21,2025-08-12,172,304.36,29,38.04,Campinas,AL,App,Sundae
CLI1166,True,6,4 a 6 compras,Medio valor,2025-02-27,2025-07-28,151,170.21,18,28.37,Campinas,CE,Loja Física,Milkshake
CLI1167,True,6,4 a 6 compras,Medio valor,2025-04-01,2025-07-09,99,128.26999999999998,19,21.38,Almeida Da Mata,RR,Loja Física,Picolé
CLI1168,True,2,2 a 3 compras,Baixo valor,2025-05-10,2025-06-25,46,87.94999999999999,8,43.97,Araújo,MG,App,Casquinha
CLI1169,True,5,4 a 6 compras,Medio valor,2025-03-22,2025-08-14,145,149.47,18,29.89,Cavalcante,TO,Loja Física,Pote
CLI1170,True,5,4 a 6 compras,Medio valor,2025-03-11,2025-08-06,148,135.51999999999998,14,27.1,Carvalho Alegre,GO,Loja Física,Pote
CLI1171,True,6,4 a 6 compras,Medio valor,2025-02-24,2025-07-25,151,167.41,16,27.9,Fogaça Da Prata,BA,App,Picolé
CLI1172,True,4,4 a 6 compras,Medio valor,2025-04-06,2025-08-17,133,145.58,13,36.4,Fonseca,ES,Parceiro,Sundae
CLI1173,True,9,7 a 10 compras,Alto valor,2025-02-28,2025-08-20,173,258.31,29,28.7,Casa Grande Do Amparo,BA,Parceiro,Casquinha
CLI1174,True,5,4 a 6 compras,Medio valor,2025-03-27,2025-08-18,144,132.72,14,26.54,Da Costa De Freitas,MT,Loja Física,Sundae
CLI1175,True,3,2 a 3 compras,Baixo valor,2025-02-23,2025-08-10,168,61.89,7,20.63,Campinas,MG,Loja Física,Picolé
CLI1176,True,7,7 a 10 compras,Alto valor,2025-02-21,2025-08-03,163,282.52,27,40.36,Araújo,MA,Parceiro,Casquinha
CLI1177,True,2,2 a 3 compras,Baixo valor,2025-04-19,2025-04-25,6,66.54,6,33.27,Costela Do Galho,ES,App,Casquinha
CLI1178,True,3,2 a 3 compras,Baixo valor,2025-04-08,2025-07-06,89,61.730000000000004,5,20.58,Cunha De Gomes,AM,App,Picolé
CLI1179,True,8,7 a 10 compras,Alto valor,2025-02-27,2025-07-24,147,188.15,20,23.52,Barbosa,AM,Parceiro,Casquinha
CLI1180,True,4,4 a 6 compras,Baixo valor,2025-03-07,2025-07-23,138,89.6,12,22.4,Cardoso,AL,Loja Física,Milkshake
CLI1181,True,6,4 a 6 compras,Alto valor,2025-03-03,2025-07-19,138,244.39000000000001,22,40.73,Borges De Correia,CE,Loja Física,Casquinha
CLI1182,False,1,1 compra,Baixo valor,2025-05-11,2025-05-11,0,19.26,2,19.26,Leão Das Flores,AM,App,Pote
CLI1183,True,8,7 a 10 compras,Medio valor,2025-03-03,2025-07-31,150,168.79,26,21.1,Araújo Verde,MS,Loja Física,Milkshake
CLI1184,True,6,4 a 6 compras,Alto valor,2025-04-25,2025-07-27,93,190.75,19,31.79,Campinas,AC,Parceiro,Sundae
CLI1185,True,5,4 a 6 compras,Medio valor,2025-04-15,2025-07-16,92,148.06,14,29.61,Aparecida Grande,ES,App,Picolé
CLI1186,True,4,4 a 6 compras,Alto valor,2025-03-22,2025-08-04,135,182.76,19,45.69,Aragão,AL,Loja Física,Milkshake
CLI1187,True,6,4 a 6 compras,Medio valor,2025-03-14,2025-09-10,180,169.69,15,28.28,Cunha,AL,Loja Física,Picolé
CLI1188,True,5,4 a 6 compras,Medio valor,2025-03-17,2025-08-01,137,174.39999999999998,18,34.88,Jesus,MA,Loja Física,Picolé
